ID	DOCULECT	CONCEPT	GLOSSID	VALUE	FORM	TOKENS	COGID	BORROWING
1530	PB		461	xɯ33	xɯ33	x ɯ ³³	461	
1531	TL		461	xɯ22	xɯ22	x ɯ ²²	461	
1532	GX		461	xɯ22	xɯ22	x ɯ ²²	461	
1533	EQ		461	xɯ22	xɯ22	x ɯ ²²	461	
1534	EG		461	xɯ22	xɯ22	x ɯ ²²	461	
1535	JM		461	xɯ22	xɯ22	x ɯ ²²	461	
1536	JX		461	(sou44jen42)	sou44jen42	s ou ⁴⁴ + j e n ⁴²	2201	
1537	DS		461	(xou35)	xou35	x ou ³⁵	2202	
1538	ZC		461	xɯ33	xɯ33	x ɯ ³³	461	
1539	MZL		461	xɯ33	xɯ33	x ɯ ³³	461	
1550	PB		461	xɯ2	xɯ2	x ɯ ²	461	
1551	TL		461	xɯ33	xɯ33	x ɯ ³³	461	
1552	GX		461	xɯ33	xɯ33	x ɯ ³³	461	
1553	EQ		461	xɯ22	xɯ22	x ɯ ²²	461	
1554	EG		461	xɯ22	xɯ22	x ɯ ²²	461	
1555	JM		461	xɯ22	xɯ22	x ɯ ²²	461	
1556	JX		461	(sou44jen42)	sou44jen42	s ou ⁴⁴ + j e n ⁴²	2205	
1557	DS		461	(xou35)	xou35	x ou ³⁵	2206	
1558	ZC		461	xɯ33	xɯ33	x ɯ ³³	461	
1559	MZL		461	xɯ33	xɯ33	x ɯ ³³	461	
3748	PB	(birds)cry/chirp	1521	mæ1b	mæ1b	m æ 1b/¹	1521	
3749	TL	(birds)cry/chirp	1521	ma35	ma35	m a ³⁵	1521	
3750	GX	(birds)cry/chirp	1521	mæ12	mæ12	m æ ¹²	1521	
3751	EQ	(birds)cry/chirp	1521	mæ21	mæ21	m æ ²¹	1521	
3752	JX	(birds)cry/chirp	1521	man21	man21	m a n ²¹	1521	
3753	DS	(birds)cry/chirp	1521	mɚ21	mɚ21	m ɚ/ə ²¹	1521	
3754	MZL	(birds)cry/chirp	1521	mɚ̃21	mɚ̃21	m ɚ/ə̃ ²¹	1521	
3983	PB	(fruit) be ripe	1638	dzro4	dzro4	ɖʐ o ⁴	1638	
3984	TL	(fruit) be ripe	1638	ʐy42	ʐy42	ʐ y ⁴²	1638	
3985	GX	(fruit) be ripe	1638	dzao21	dzao21	dz ao ²¹	1638	
3986	EQ	(fruit) be ripe	1638	tɕio21	tɕio21	tɕ i/j o ²¹	1638	
3987	EG	(fruit) be ripe	1638	tɕiu21	tɕiu21	tɕ i u ²¹	1638	
3988	JM	(fruit) be ripe	1638	tɕio21	tɕio21	tɕ i/j o ²¹	1638	
3989	JX	(fruit) be ripe	1638	(tsṽ42tʰǝ31)	tsṽ42tʰǝ31	ts ṽ ⁴² + tʰ ə ³¹	2381	
3990	DS	(fruit) be ripe	1638	(tʰiɯ42xa55)	tʰiɯ42xa55	tʰ i/j ɯ ⁴² + x a ⁵⁵	2382	
3991	MZL	(fruit) be ripe	1638	tsʰu42	tsʰu42	tsʰ u ⁴²	1638	
4062	PB	(head) ache	1666	suŋ3	suŋ3	s u ŋ ³	1666	
4063	TL	(head) ache	1666	svŋ21	svŋ21	s v ŋ ²¹	1666	
4064	GX	(head) ache	1666	saŋ42	saŋ42	s a ŋ ⁴²	1666	
4065	EQ	(head) ache	1666	(tsa55)	tsa55	ts a ⁵⁵	2389	
4066	EG	(head) ache	1666	(tso55)	tso55	ts o ⁵⁵	2390	
4067	JM	(head) ache	1666	(tsa55)	tsa55	ts a ⁵⁵	2391	
4068	JX	(head) ache	1666	svŋ31	svŋ31	s v ŋ ³¹	1666	
4069	DS	(head) ache	1666	soŋ31	soŋ31	s o ŋ ³¹	1666	
4070	ZC	(head) ache	1666	(si31)	si31	s i ³¹	2392	
4071	MZL	(head) ache	1666	soŋ21	soŋ21	s o ŋ ²¹	1666	
3813	PB	(people) crawl	1536	mæ4	mæ4	m æ ⁴	1536	
