ID	Source_ID	Name	Pinyin	ChineseName	Location	Latitude	Longitude	Glottocode	DialectGroup	SubGroup
Dashi	DS	Dashi	Dàshí	大石白语	Dashi village, Songgui, Heqing county	26.3530106	100.1930442		Central	Bai
Ega	EG	Ega	Égā	俄嘎白语	Ega village	26.4858945	98.8528962	egab1234	Northern	Bai
Enqi	EQ	Enqi	Ēnqí	恩棋白语	Enqi village	26.4738155	99.1189832	enqi1234	Northern	Bai
Jinman	JM	Jinman	Jīnmǎn	金满白语	Jinman village	26.4154856	99.1285952	nuji1238	Northern	Bai
Jinxing	JX	Jinxing	Jīnxīng	金星白语	Jinxing village, Jianyang, Jianchuan county	24.9259218	103.1237482		Central	Bai
Mazhelong	MZL	Mazhelong	Mǎzhělóng	马者龙白语	Mazhelong village	24.1677209	104.1950232		Southern	Bai
Tuoluo	TL	Tuoluo	Tuǒluò	妥洛白语	Tuoluo village, Weiding, Weixi county	23.3833337	102.1839821	tuol1234	Northern	Bai
Zhoucheng	ZC	Zhoucheng	Zhōuchéng	周城白语	Zhoucheng village	25.8958826	100.0988062	zhou1234	Southern	Bai
Gongxing	GX	Gongxing	Gōngxìng	共兴白语	Gongxing village, Hexi, Lanping county	27.0852794	99.1652452		Northern	Bai
ProtoBai	PB	Proto-Bai								Bai
