NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
1131	249	pull up (weeds)	拔（草）	2066	PULL UP (RICE SEEDLINGS)
1132	249	to rake (the fields)	耙（田）	3127	RAKE (SOMETHING)
1141	249	bind; tie up	绑	2891	TIE UP (TETHER)
1148	249	have eaten one's fill	饱		
1149	249	hug	抱	928	EMBRACE
1151	249	carry (a child on the back)	背		
1151	249	carry (shoulder)	背	413	CARRY ON SHOULDER
1155	250	close (the mouth)	闭（口）	2063	CLOSE (EYES)
1156	250	to plait	编（辫子）	3295	BRAID (VERB)
1158	250	change	变化	2857	CHANGE (BECOME DIFFERENT)
1160	250	to be ill	病	1847	SICK
1161	250	patch (clothing)	不（依附）	2243	REPAIR
1168	250	step on; tread	踩	575	TREAD
1169	250	hide	藏（东西)	2486	HIDE
1171	250	to poke; insert	播（牌子）	3071	INSERT
1172	250	transplant (rice seedling); insert	播（种）		
1174	250	unseam (clothing)	拆衣服		
1186	250	stir-fry; stir	炒	2162	STIR FRY
1188	250	weigh (food)	称（粮食）	1098	WEIGH
1194	250	fill (a bowl with rice)	盛（饭）	2006	FILL
1198	250	eat	吃	1336	EAT
1212	250	put on (the shoes)	穿（鞋）	158	PUT ON
1218	250	blow (the trumpet)	吹（喇叭）	176	BLOW (WITH MOUTH)
1225	250	twist (hemp fivers)	搓（绳）	3236	TWIST (TOGETHER)
1234	250	fight	打架	1423	FIGHT
1240	250	to bet	打赌		
1248	250	to thunder	打雷	2378	THUNDER (VERB)
1252	250	wear (a hat)	戴（帽子）	3428	WEAR (ON HEAD)
1254	250	wear (a bracelet)	戴（手？）	976	WEAR
1256	250	to block (the wind)	挡（风）	2762	BLOCK (THE WAY)
1263	250	get; acquire	得到	694	GET
1264	250	wait	等待	1590	WAIT (FOR)
1265	250	earth quake	地震		
1269	250	to burn	燃烧	2102	BURN
1274	250	to drop	掉（下)	750	DROP
1287	250	read	读	724	READ
1298	250	be hungry	饿	1533	BE HUNGRY
1318	250	fly	飞	1441	FLY (MOVE THROUGH AIR)
1319	250	divide; share (things)	分（东西）	1119	DIVIDE
1332	250	pull (a quilt over oneself)	盖（被）	1455	PULL
1339	250	cut (meat)	割（肉）	2156	CUT (WITH KNIFE)
1343	250	be on the other side of (a river)	隔（河）		
1345	250	give	给	1447	GIVE
1347	250	plough; till	耕	1921	PLOUGH
1348	251	to hook	钩	1071	HOOK
1357	251	to pen in (sheep)	关（羊）		
1360	251	kneel	跪	66	KNEEL
1370	251	drink	喝	1401	DRINK
1383	251	to change	换	1264	CHANGE
1384	251	wave; wield	挥动	978	WAVE
1385	251	return	回	581	COME BACK
1405	251	squeeze (for milk)	济（奶）	93	DRAW MILK
1412	251	pick up (food with chopstick) [fasten the belt]	系（腰带）		
1413	251	pick up (food with chopstick)	夹（菜）	371	PICK UP
1414	251	pick up	捡		GATHER
1416	251	scissor	剪	2155	CUT (WITH SCISSORS)
1419	251	exchange	交换	2509	EXCHANGE
1422	251	to water/sprinkle/irrigate	浇（水）	3078	IRRIGATE
1425	251	teach	教	709	TEACH
1438	251	lift (the lid)	揭（盖子）	501	LIFT
1438	251	to bark	叫（狗）	1206	BARKING
1442	251	to borrow (money)	借（钱）	1823	BORROW
1443	251	to borrow (tools)	借（工具）		
1444	251	soak; steep	浸泡	2069	SOAK (VERB)
1452	251	live; reside	居住	363	DWELL (LIVE, RESIDE)
1454	251	to saw	锯	1948	SAW
1461	251	open	开（门）	1156	OPEN
1462	251	(water) be boiling	开（水）	792	BOIL (OF LIQUID)
1474	251	roast in fire	烤（火）		ROAST (SOMETHING)
1477	251	to cough	咳？	879	COUGH
1478	251	be thirsty	渴	847	THIRSTY
1485	251	cry (verb or noun?, should be made clear later on)	哭	1839	CRY
1487	251	pull; tug	拉		TUG
1489	251	peppery	辣		
1493	251	old	老的	1229	OLD
1502	251	(water flow)	流水		
1506	251	to leak	漏（水）	2253	DRIP (EMIT LIQUID)
1513	251	be numb	麻木	2216	BECOME NUMB
1516	251	buy	买	1869	BUY
1517	251	sell	卖	1571	SELL
1521	251	(birds)cry/chirp	鸣（鸟）		
1523	251	close (the mouth) lightly	抿着（嘴）		
1525	251	stroke; touch	摸	1892	TOUCH
1526	251	whet (a knife)	磨（刀）	251	SHARPEN (SOMETHING)
1527	252	grind (flour)	磨（面）	1033	GRIND
1533	252	twist (a tower)	拧（毛巾）	3199	TWIST (AROUND)
1535	252	vomit/throw up	呕吐	1278	VOMIT
1536	252	(people) crawl	爬（人）	96	CRAWL
1546	252	compensate	赔偿		
1552	252	chop (firewood)	劈（柴）	155	CHOP
1553	252	float	漂浮	1574	FLOAT
1561	252	cut/rip open	剖	1432	CUT
1562	252	pave; lay	铺	2071	LAY (VERB)
1566	252	ride	骑	367	RIDE
1568	252	pull/lead (a cow) along	牵（牛）	43	LEAD (GUIDE)
1569	252	to owe (monez)	欠（钱）	369	OWE
1574	252	cut up (vegetable)	切（菜）		
1580	252	fully recover (from an illness)	痊愈（病）		
1587	252	heat up (cold rice)	热（饭）	1341	HEAT UP
1596	252	piss; pee	撒（尿）	592	PISS
1597	252	scatter (seeds)	撒（种）	2064	SCATTER (SEEDS)
1601	252	seep [sweep]	扫		SWEEP
1602	252	kill	杀		KILL
1604	252	dry (clothes) in the sun	晒（衣服）		
1611	252	shoot (an arrow)	射（箭）		
1613	252	stretch out (the arm)	伸	214	STRETCH
1634	252	to comb	梳	2070	COMB (VERB)
1635	252	lose (a game)	输	1660	LOSE
1638	252	(fruit) be ripe	熟（果子）	178	RIPE
1643	252	fling; toss	甩	1456	THROW
1645	252	tie (a cow) to	栓（牛）		
1648	252	suck	吮	1421	SUCK
1649	252	say	说	1458	SAY
1650	252	tear up, rip	撕	1735	TEAR (SHRED)
1651	252	die	死	1494	DIE
1656	252	lock (the door)	锁（门）	1596	LOCK
1663	252	escape; run away	逃跑	956	FLEE
1666	252	(head) ache	痛（头痛）	1815	ACHE
1668	252	shave (the head)	剃头	231	SHAVE
1674	252	lick, lap	添	319	LICK
1681	252	listen	听	1608	LISTEN
1688	252	spit (noun or verb?)	吐（痰）		
1707	252	to smell	闻（嗅）	2124	SMELL
1708	252	ask; question	问	1309	ASK (INQUIRE)
1715	252	be blind	瞎	1653	BLIND
1718	252	lay (eggs)	下（蛋）	2464	LAY EGGS
1719	253	(rain) fall	下（雨）	2234	FALL (OF SNOW AND RAIN)
1726	253	think	想	2271	THINK
1733	253	pare/peel with a knife	削		PEEL
1735	253	laugh	笑	1355	LAUGH
1740	253	to rest	休息		
1741	253	embroider	绣		
1742	253	study, learn	学		
1745	253	press, push down	压		PUSH
1746	253	[castrate (chicken)]	阉（鸡）		
1749	253	to itch/tickle	痒	148	ITCH
1754	253	scoop up (water); ladle out	舀（水）	2788	LADLE (WATER)
1755	253	want; need	要	1784	WANT
1764	253	have (you)	有（钱）	773	HAVE
1793	253	(wasps) sting	蜇（马蜂）	571	STING
1797	253	steam	蒸	1193	STEAM
1799	253	weave; knit	织	2905	KNIT
1802	253	swell	肿	1573	SWELL
1803	253	use or lean on (a walking stick)	拄	2072	USE (VERB)
1804	253	cook; boil	煮	1100	COOK (SOMETHING)
1806	253	turn around	转（身）	1444	TURN AROUND
1813	253	catch; capture	捉	702	CATCH
1819	253	sit	坐	1416	SIT
1823	253	[loach]	泥鳅		
1829	253	leg	腿	1297	LEG
1852	253	bark	树皮	1204	BARK
1858	253	jar	甄子	1462	POT
1863	253	price	价	657	PRICE
2073	253	[cow louse]	牛虱		
2075	253	[ethanol]	酒精		
2086	253	bamboo piece	蔑		
2105	253	paint	漆		PAINT (PIGMENTS)
2109	253	stomach [bird crop]	嗉子		
2118	253	eagle fern	蕨菜		
2121	253	[pull up weeds]	蒿草		
2124	253	(xx language) 	语言		
