NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
148	243	stomach	胃	819	STOMACH	819	STOMACH	2
149	243	intestine; guts	肠子	1991	INTESTINES	1991	INTESTINES	2
150	243	bladder	膀胱	1746	BLADDER	1746	BLADDER	2
151	243	excrement	屎	675	FAECES (EXCREMENT)	675	FAECES (EXCREMENT)	2
153	243	fart	屁	1159	FART	1159	FART	2
154	243	sweat	汗	125	SWEAT (SUBSTANCE)	2458	PERSPIRE OR SWEAT	2
159	243	pus	脓	1808	PUS	1808	PUS	2
161	243	sound	声音	1811	SOUND OR NOISE	1363	VOICE	2
162	243	corpse	尸体	767	CORPSE	767	CORPSE	2
165	243	Han Chinese	汉族	3373	HAN CHINESE	3373	HAN CHINESE	2
167	243	person	人	683	PERSON	683	PERSON	2
172	243	old lady	老太太	907	OLD WOMAN	907	OLD WOMAN	2
173	243	man	男人	1554	MAN	1554	MAN	2
174	243	woman	妇女	962	WOMAN	962	WOMAN	2
179	243	soldier	士兵	1941	SOLDIER	1941	SOLDIER	2
194	243	thief	贼	1160	THIEF	1160	THIEF	2
201	244	friend	朋友	1325	FRIEND	1325	FRIEND	2
213	244	guest	客人	1782	GUEST	1782	GUEST	2
218	244	father	父亲	1217	FATHER	1217	FATHER	2
219	244	mother	母亲	1216	MOTHER	1216	MOTHER	2
220	244	son	儿子	1620	SON	1620	SON	2
222	244	daughter	女儿	1357	DAUGHTER	1357	DAUGHTER	2
224	244	grandson	孙子	1618	GRANDSON	2702	GRANDSON (SON'S SON)	2
228	244	younger brother	弟弟	1760	YOUNGER BROTHER	2416	YOUNGER BROTHER (OF MAN)	2
229	244	younger sister	妹妹	1761	YOUNGER SISTER	1761	YOUNGER SISTER	2
234	244	nephew	侄子	1063	NEPHEW	1063	NEPHEW	2
235	244	brothers	兄弟	1262	BROTHER	1262	BROTHER	2
238	244	uncle (mother's brother)	舅父	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	2
249	244	stepmother	继母	236	STEPMOTHER		???	
254	244	cattle	牛	1153	CATTLE	1153	CATTLE	2
259	245	maggot	蛆	2640	LARVA		???	
263	244	horn	角	1393	HORN (ANATOMY)	1393	HORN (ANATOMY)	2
264	244	hoof	蹄	152	HOOF	152	HOOF	2
268	244	horse	马	615	HORSE	615	HORSE	2
271	244	horse mane	马？		MANE		???	
271	244	mare	母马	938	MARE	938	MARE	2
274	244	sheep (general)	羊	2684	CAPRINE (GOAT OR SHEEP)	1331	SHEEP	2
284	244	pig	猪	1337	PIG	1337	PIG	2
289	244	dog	狗	2009	DOG	2009	DOG	2
291	244	cat	猫	1208	CAT	1208	CAT	2
293	244	chicken	鸡	1318	CHICKEN	1318	CHICKEN	2
304	244	tiger	老虎	846	TIGER	846	TIGER	2
306	244	dragon	龙	2038	DRAGON	2038	DRAGON	2
308	244	monkey	猴子	1350	MONKEY	1350	MONKEY	2
310	244	leopard; panther	豹子	1139	LEOPARD	1139	LEOPARD	2
314	244	muntjac; barking deer	鹿子	3152	MUNTJACS		???	
316	244	musk	麝香				???	
319	244	hedgehog	刺猬	1797	HEDGEHOG	1797	HEDGEHOG	2
320	244	mouse	老鼠	2139	MUROID (MOUSE OR RAT)	1491	MOUSE	2
326	244	bird	鸟	937	BIRD	937	BIRD	2
327	244	bird's nest	鸟窝	539	NEST	539	NEST	2
340	244	pheasant	野鸡	3060	PHEASANT	3060	PHEASANT	2
342	244	turtledove	斑鸠	1853	DOVE	1853	DOVE	2
347	244	cuckoo	布谷鸟	2934	CUCKOO	2934	CUCKOO	2
347	244	snake	蛇	730	SNAKE	730	SNAKE	2
349	245	frog	青蛙	503	FROG	503	FROG	2
351	245	fish	鱼	227	FISH	227	FISH	2
352	245	scale	鳞	266	SCALE	266	SCALE	2
353	245	worm	虫	1219	WORM	1219	WORM	2
356	245	louse	虱子	1392	LOUSE	1392	LOUSE	2
360	245	mosquito	蚊子	1509	MOSQUITO	1509	MOSQUITO	2
364	245	leech	蚂蟥	949	WATER LEECH	2273	LEECH	2
365	245	ant	蚂蚁	587	ANT	587	ANT	2
367	245	bee	蜂蜜	665	BEE	942	HONEY	2
372	245	tree	树	906	TREE	906	TREE	2
375	245	root	根	670	ROOT	670	ROOT	2
376	245	leaf	叶子	628	LEAF	628	LEAF	2
378	245	fruit	水果			1507	FRUIT	2
382	245	willow	柳树	818	WILLOW	818	WILLOW	2
385	245	pine	松树	1740	PINE	1740	PINE	2
387	245	resin, colophony	松香	664	RESIN		???	
388	245	pine torches	宋明				???	
389	245	bamboo	竹子	1927	BAMBOO	1927	BAMBOO	2
390	245	cane, vine	藤子	343	VINE	343	VINE	2
391	245	thorn; splinter	刺儿	124	THORN	124	THORN	2
392	245	peach	杯子	2043	PEACH	476	CUP	2
395	245	persimmon	柿子	2044	PERSIMMON	2044	PERSIMMON	2
397	245	Chinese chestnut	板栗			2318	CHESTNUT	2
403	245	paddy rice	水稻			3390	WILD RICE	2
403	245	paddy rice	谷	3390	WILD RICE	921	VALLEY	4
404	245	glutinous rice	糯米	2750	GLUTINOUS RICE	2750	GLUTINOUS RICE	2
405	245	seed	种子	714	SEED	714	SEED	2
406	245	(rice) seedling	种	3050	SEEDLING	714	SEED	2
407	245	ear; spike	穗	3244	EAR (OF GRAIN)	3244	EAR (OF GRAIN)	2
408	245	rice straw	稻草	3391	RICE STRAW	3391	RICE STRAW	2
410	245	wheat	小麦	1077	WHEAT	1077	WHEAT	2
411	245	barley	大麦	932	BARLEY	932	BARLEY	2
413	245	buckwheat	荞麦	2040	BUCKWHEAT	2040	BUCKWHEAT	2
414	245	wheat straw	麦秸			2299	STRAW	2
419	245	hemp	麻		HEMP	2041	HEMP	2
420	245	vegetable	蔬菜	924	VEGETABLES	924	VEGETABLES	2
423	245	onion, scallion	葱	2366	ONION	2366	ONION	2
424	245	garlic	蒜	2368	GARLIC	2368	GARLIC	2
425	245	ginger	姜	2500	GINGER	2500	GINGER	2
430	245	pea; bean	豆	2574	BEAN OR PEA	2574	BEAN OR PEA	2
437	246	mushroom	蘑菇	641	MUSHROOM	641	MUSHROOM	2
439	246	rice	米	926	RICE	926	RICE	2
443	246	meat	肉	634	MEAT	634	MEAT	2
445	246	grease, fat	脂肪	323	FAT (ORGANIC SUBSTANCE)	323	FAT (ORGANIC SUBSTANCE)	2
446	246	vegetable oil	清油	2555	OIL (FROM PLANTS)	2555	OIL (FROM PLANTS)	2
448	246	seed of Chinese prickly ash	花椒	3395	SICHUAN PEPPER		???	
450	246	egg	蛋	744	EGG	744	EGG	2
451	246	soup	汤	1547	SOUP	1547	SOUP	2
452	246	alcoholic beverage	酒	404	ALCOHOL (FERMENTED DRINK)	2
454	246	tea	茶	1373	TEA	1373	TEA	2
456	246	medicine	药	1372	MEDICINE	1372	MEDICINE	2
457	246	chaff; bran	糠	2363	CHAFF (HUSK)	2363	CHAFF (HUSK)	2
461	246	thread	线	1161	THREAD	1161	THREAD	2
462	246	cloth	布	1616	CLOTH	1616	CLOTH	2
479	246	shoe	鞋	1381	SHOE	1381	SHOE	2
481	246	comb	梳子	1475	COMB	1475	COMB	2
484	246	earrings	耳环	770	EARRING	770	EARRING	2
490	246	pillow	枕头	1044	PILLOW	1044	PILLOW	2
493	246	straw or palm-bark rain cape	蓑衣	1662	CAPE	2
494	246	house	房子	1252	HOUSE	1252	HOUSE	2
509	246	tile	瓦	3404	TILE	3404	TILE	2
511	246	[wood]	木头		WOOD	1803	WOOD	2
512	246	plank; board	木板	1227	BOARD	1227	BOARD	2
513	246	pillar	柱子	2045	COLUMN	2045	COLUMN	2
514	246	door	门	1567	DOOR	1567	DOOR	2
522	246	garden (plot)	园子	586	GARDEN	586	GARDEN	2
526	246	bed	床	1663	BED	1663	BED	2
534	246	firewood	柴	10	FIREWOOD	10	FIREWOOD	2
544	246	cooking stove; kitchen range	灶	859	STOVE		???	
548	246	bamboo food steamer	蒸笼	3431	RICE STEAMER	4
551	246	ladle	勺子	2657	LADLE	1378	SPOON	2
555	246	chopsticks	筷子	1987	CHOPSTICKS	1987	CHOPSTICKS	2
559	246	kettle; pot	壶	854	KETTLE		???	
560	246	vat; jar	缸	270	JUG	2
576	246	interest	利斯	2062	INTEREST		???	
578	246	needle	针	1382	NEEDLE (FOR SEWING)	1382	NEEDLE (FOR SEWING)	2
580	246	nail; tack	钉子	502	NAIL (TOOL)	502	NAIL (TOOL)	2
585	246	key	钥匙	1472	KEY	1472	KEY	2
586	246	stick	棍子	1295	STICK	1295	STICK	2
597	246	whip	鞭子	2630	WHIP	2
602	246	boat; ship	船	1844	BOAT	1844	BOAT	2
605	246	axe	斧头	677	AXE	677	AXE	2
607	247	chisel	鑿子	1979	CHISEL	1979	CHISEL	2
608	247	saw	锯子	1948	SAW	1948	SAW	2
615	247	plougshare	铧				???	
617	247	hoe (large)	锄头	284	HOE	284	HOE	2
619	247	rope	绳子	1218	ROPE	1218	ROPE	2
623	247	fertilizer; manure	肥料	2057	DUNG (ANIMAL FAECES)		???	
624	247	sickle	剪刀	341	SICKLE	356	SHEARS	2
626	247	trip-hammer for hulling rice	碓（水碓）			225	PESTLE	4
629	247	sieve; sifter	篩子	3353	SIEVE (TOOL)	3353	SIEVE (TOOL)	2
630	247	winnowing fan	簸箕	2051	DUSTPAN	2051	DUSTPAN	2
637	247	arrow	箭	977	ARROW	977	ARROW	2
647	247	paper	纸	648	PAPER	648	PAPER	2
651	247	speech; words; language	语	2799	LANGUAGE OR WORD		???	
659	247	drum	鼓	908	DRUM	908	DRUM	2
669	247	ghost, spirit	鬼	1175	GHOST	1175	GHOST	2
673	247	(soul); spirit	灵魂	53	SPIRIT	811	SOUL	2
687	247	name	名字	1405	NAME	1405	NAME	2
695	247	trace; track	痕迹				???	
698	247	shadow	影子	1388	SHADE	1388	SHADE	2
699	247	dream	梦	2374	DREAM	2374	DREAM	2
703	247	direction; orientation	方向	3427	DIRECTION	3427	DIRECTION	2
710	247	left	左边	244	LEFT	244	LEFT	2
713	247	back, behind	后边	1686	BEHIND		???	
714	247	outside	外边	762	OUTSIDE	762	OUTSIDE	2
722	247	the upper part; up reaches; above	上方（地势，河流）	2379	UP OR ABOVE		???	
738	247	today	今天	1283	TODAY	1283	TODAY	2
739	247	yesterday	昨天	1174	YESTERDAY	1174	YESTERDAY	2
752	247	at night; in the evening	晚上		EVENING	1629	EVENING	2
767	247	the 12 animals representing the 12 years	属相				???	
771	247	month	月	1370	MONTH	1370	MONTH	2
781	247	next year	名年	515	NEXT YEAR		???	
797	247	one	一	1493	ONE	1493	ONE	2
798	247	two	二	1498	TWO	1498	TWO	2
799	247	three	三	492	THREE	492	THREE	2
800	247	four	四	1500	FOUR	1500	FOUR	2
801	247	five	五	493	FIVE	493	FIVE	2
802	247	six	六	1703	SIX	1703	SIX	2
803	248	seven	七	1704	SEVEN	1704	SEVEN	2
804	248	eight	八	1705	EIGHT	1705	EIGHT	2
805	248	nine	九	1483	NINE	1483	NINE	2
806	248	ten	十	1515	TEN	1515	TEN	2
808	248	twelve	十二	1707	TWELVE	1707	TWELVE	2
824	248	hundred	百	1634	HUNDRED	1634	HUNDRED	2
826	248	thousand	千	1843	THOUSAND	1843	THOUSAND	2
832	248	a half	一半	816	HALF	816	HALF	2
839	248	classifier [sheet of paper]	张（纸）		SHEET (CLASSIFIER)	2729	SHEET (CLASSIFIER)	4
842	248	classifier [birds]	只（鸟）	2081	CHICKEN (CLASSIFIER)	4
845	248	classifier [grain]	厘（米）	2086	GRAIN (CLASSIFIER)		???	
848	248	classifier [tree]	棵（树）	2721	TREE (CLASSIFIER)	2721	TREE (CLASSIFIER)	2
852	248	classifier [handfull]	把（菜）	1966	BUNCH	4
864	248	classifier [clothes]	件（衣服）	2088	CLOTHING (CLASSIFIER)	2088	CLOTHING (CLASSIFIER)	4
876	248	classifier [back of firewood]	背（柴）			1291	BACK	4
881	248	classifier [sack of rice]	袋（米）				???	
889	248	classifier [room]	间（房）				???	
894	248	classifier [weight unit]	两				???	
899	248	classifier [length unit]	庹	81	FATHOM	2
910	248	day	天	1260	DAY (24 HOURS)	1260	DAY (24 HOURS)	2
914	248	a year old	岁	1789	AGE	2
916	248	step	步	1158	STEP		???	
928	248	I	我	1209	I	1209	I	2
931	248	you	你	1215	THOU	1215	THOU	2
934	248	he	他	2642	HE OR SHE	2642	HE OR SHE	2
964	248	big	大	1202	BIG	1202	BIG	2
966	248	wide	粗	1244	THICK	2
968	248	high	高	2790	HIGH OR TALL	2
969	248	low; short	低（矮）	SMALL (NOT TALL)	4
972	248	long	长	1203	LONG	1203	LONG	2
974	248	far	远	1406	FAR	1406	FAR	2
975	248	near	近	1942	NEAR	1942	NEAR	2
976	248	wide	宽	1243	WIDE	1645	SHORT	2
977	248	narrow	窄	1267	NARROW	1267	NARROW	2
980	248	thick	厚	1244	THICK	1244	THICK	2
982	248	deep	深	1593	DEEP	1593	DEEP	2
985	248	empty	空	1624	EMPTY	1624	EMPTY	2
987	248	many	多	1198	MANY	1198	MANY	2
990	248	round	圆	1395	ROUND	1395	ROUND	2
994	248	smooth	平	1234	SMOOTH	1234	SMOOTH	2
999	248	slanting; learning	偏	3075	SLANTED	3075	SLANTED	2
1002	248	vertical, be standing	竖	2375	VERTICAL	2375	VERTICAL	4
1003	248	straight	直	1404	STRAIGHT	1404	STRAIGHT	2
1004	248	curved; crooked; bent	弯	1698	CURVED	2004	BEND	2
1005	248	black	黑	163	BLACK	163	BLACK	2
1006	248	white	白	1335	WHITE	1335	WHITE	2
1007	248	red	红	156	RED	156	RED	2
1008	249	yellow	黄	1424	YELLOW	1424	YELLOW	2
1013	249	dark	暗	706	DARK	706	DARK	2
1014	249	heavy	重	1210	HEAVY	1210	HEAVY	2
1015	249	light	轻	1052	LIGHT (WEIGHT)	1052	LIGHT (WEIGHT)	2
1018	249	early	早	672	EARLY	672	EARLY	2
1019	249	late	晚	477	LATE	477	LATE	2
1020	249	sharp	尖；锋利	1396	SHARP		???	
1023	249	muddy; turbid	浑浊	537	TURBID	537	TURBID	2
1028	249	dry	干	1398	DRY	1398	DRY	2
1031	249	watery/thin (porridge)	稀（粥）	207	SPARSE	2305	THIN (OF HAIR AND THREAD)	4
1035	249	soft	软	1856	SOFT	1856	SOFT	2
1045	249	correct; right	对	1725	CORRECT (RIGHT)	1725	CORRECT (RIGHT)	2
1047	249	real	真	1657	TRUE	2
1048	249	fraud	假	3069	FALSE	2
1050	249	new	新	1231	NEW	1231	NEW	2
1051	249	used, old	旧	2113	OLD (USED)	2113	OLD (USED)	2
1052	249	good	好	1035	GOOD	1035	GOOD	2
1053	249	bad (things)	坏	1292	BAD	1292	BAD	2
1057	249	tender young (plant)	嫩（植物）			1954	GENTLE	4
1062	249	hot	热	1286	HOT	1286	HOT	2
1063	249	cold	冷	1287	COLD	1287	COLD	2
1064	249	lukewarm	温（水）				???	
1068	249	easy	容易	686	EASY	686	EASY	2
1069	249	fragrant (smell)	相	376	FRAGRANT		???	
1070	249	stinking; smelly	臭	42	STINKING	42	STINKING	2
1072	249	sour	酸	1906	SOUR	1906	SOUR	2
1074	249	bitter	苦	887	BITTER	887	BITTER	2
1076	249	salty	咸	1091	SALTY	1091	SALTY	2
1078	249	astringent; like unripe	涩				???	
1083	249	rich	富	712	RICH	712	RICH	2
1089	249	dead	死	1625	DEAD	1494	DIE	2
1094	249	loud	响	377	LOUD	377	LOUD	2
1124	249	cliffy; precipitous	陡峭	2717	STEEP	2717	STEEP	2
1126	249	love; like	爱	1117	LIKE	923	LOVE	2
1129	249	press (with palm of finger)	按	1913	PRESS	1913	PRESS	2
1131	249	pull up (weeds)	拔（草）	2066	PULL UP (RICE SEEDLINGS)	2066	PULL UP (RICE SEEDLINGS)	4
1132	249	to rake (the fields)	耙（田）	3127	RAKE (SOMETHING)	3127	RAKE (SOMETHING)	4
1141	249	bind; tie up	绑	2891	TIE UP (TETHER)	1917	TIE	2
1148	249	have eaten one's fill	饱	106	SATIATED	2
1149	249	hug	抱	928	EMBRACE	928	EMBRACE	2
1151	249	carry (a child on the back)	背	465	CARRY ON BACK	2
1151	249	carry (shoulder)	背	413	CARRY ON SHOULDER	465	CARRY ON BACK	2
1155	250	close (the mouth)	闭（口）	2063	CLOSE (EYES)	2063	CLOSE (EYES)	4
1156	250	to plait	编（辫子）	3295	BRAID (VERB)	1043	BRAID	2
1158	250	change	变化	2857	CHANGE (BECOME DIFFERENT)	2857	CHANGE (BECOME DIFFERENT)	2
1160	250	to be ill	病	1847	SICK	2327	BECOME SICK	2
1161	250	patch (clothing)	补（依附）	2243	REPAIR	1269	NO	4
1168	250	step on; tread	踩	575	TREAD	575	TREAD	2
1169	250	hide	藏（东西)	602	HIDE (CONCEAL)	4
1171	250	to poke; insert	播（牌子）	3071	INSERT	2064	SCATTER (SEEDS)	4
1172	250	transplant (rice seedling); insert	播（种）	2064	SCATTER (SEEDS)	2
1174	250	unseam (clothing)	拆衣服				???	
1186	250	stir-fry; stir	炒	2162	STIR FRY	2162	STIR FRY	2
1188	250	weigh (food)	称（粮食）	1098	WEIGH	1098	WEIGH	4
1194	250	fill (a bowl with rice)	盛（饭）	2006	FILL	2006	FILL	4
1198	250	eat	吃	1336	EAT	1336	EAT	2
1212	250	put on (the shoes)	穿（鞋）	158	PUT ON	158	PUT ON	2
1218	250	blow (the trumpet)	吹（喇叭）	176	BLOW (WITH MOUTH)	176	BLOW (WITH MOUTH)	2
1225	250	twist (hemp fivers)	搓（绳）	3236	TWIST (TOGETHER)	1449	RUB	4
1234	250	fight	打架	1423	FIGHT	1423	FIGHT	2
1240	250	to bet	打赌				???	
1248	250	to thunder	打雷	2378	THUNDER (VERB)	2378	THUNDER (VERB)	2
1252	250	wear (a hat)	戴（帽子）	3428	WEAR (ON HEAD)	3428	WEAR (ON HEAD)	4
1254	250	wear (a bracelet)	戴（手镯 ）			3428	WEAR (ON HEAD)	4
1256	250	to block (the wind)	挡（风）	2762	BLOCK (THE WAY)	2762	BLOCK (THE WAY)	4
1263	250	get; acquire	得到	694	GET	694	GET	2
1264	250	wait	等待	1590	WAIT (FOR)	1590	WAIT (FOR)	2
1265	250	earth quake	地震			6	EARTHQUAKE	2
1269	250	to burn	燃烧	2102	BURN	1428	BURNING	2
1274	250	to drop	掉（下)	750	DROP	750	DROP	4
1287	250	read	读	724	READ	724	READ	2
1298	250	be hungry	饿	1533	BE HUNGRY	1533	BE HUNGRY	2
1318	250	fly	飞	1441	FLY (MOVE THROUGH AIR)	1441	FLY (MOVE THROUGH AIR)	2
1319	250	divide; share (things)	分（东西）	1119	DIVIDE	884	SHARE	4
1332	250	pull (a quilt over oneself)	盖（被）			761	COVER	4
1339	250	cut (meat)	割（肉）	2156	CUT (WITH KNIFE)	2156	CUT (WITH KNIFE)	4
1343	250	be on the other side of (a river)	隔（河）				???	
1345	250	give	给	1447	GIVE	1447	GIVE	2
1347	250	plough; till	耕	1921	PLOUGH	1921	PLOUGH	2
1348	251	to hook	钩	1071	HOOK	1071	HOOK	2
1357	251	to pen in (sheep)	关（羊）			1046	SHUT	4
1360	251	kneel	跪	66	KNEEL	66	KNEEL	2
1370	251	drink	喝	1401	DRINK	1401	DRINK	2
1383	251	to change	换	1264	CHANGE	1264	CHANGE	2
1384	251	wave; wield	挥动	978	WAVE		???	
1385	251	return	回	581	COME BACK	581	COME BACK	2
1405	251	squeeze (for milk)	济（奶）	93	DRAW MILK		???	
1412	251	pick up (food with chopstick) [fasten the belt]	系（腰带）			1094	FASTEN	4
1413	251	pick up (food with chopstick)	夹（菜）	371	PICK UP		???	
1414	251	pick up	捡		GATHER	371	PICK UP	2
1416	251	scissor	剪	2155	CUT (WITH SCISSORS)	2155	CUT (WITH SCISSORS)	2
1419	251	exchange	交换	2509	EXCHANGE	2509	EXCHANGE	2
1422	251	to water/sprinkle/irrigate	浇（水）	3078	IRRIGATE	3078	IRRIGATE	4
1425	251	teach	教	709	TEACH	709	TEACH	2
1438	251	lift (the lid)	揭（盖子）	501	LIFT	501	LIFT	4
1432	251	to bark	叫（狗）	1206	BARKING	526	HOWL	4
1442	251	to borrow (money)	借（钱）	1823	BORROW	1823	BORROW	2
1443	251	to borrow (tools)	借（工具）			1823	BORROW	4
1444	251	soak; steep	浸泡	2069	SOAK (VERB)	2069	SOAK (VERB)	2
1452	251	live; reside	居住	363	DWELL (LIVE, RESIDE)	1099	RESIDE	4
1454	251	to saw	锯	1948	SAW		???	
1461	251	open	开（门）	1156	OPEN	1156	OPEN	2
1462	251	(water) be boiling	开（水）	792	BOIL (OF LIQUID)	3287	BLOOM	4
1474	251	roast in fire	烤（火）		ROAST (SOMETHING)	1962	ROAST (SOMETHING)	2
1477	251	to cough	咳？	879	COUGH		???	
1478	251	be thirsty	渴	847	THIRSTY	847	THIRSTY	2
1485	251	cry (verb or noun?, should be made clear later on)	哭	1839	CRY	1839	CRY	2
1487	251	pull; tug	拉	455	PULL	2
1489	251	peppery	辣	544	SPICY	2
1493	251	old	老的	1229	OLD		???	
1502	251	(water flow)	流水				???	
1506	251	to leak	漏（水）	2253	DRIP (EMIT LIQUID)	2253	DRIP (EMIT LIQUID)	4
1513	251	be numb	麻木	2216	BECOME NUMB		???	
1516	251	buy	买	1869	BUY	1571	SELL	2
1517	251	sell	卖	1571	SELL	1571	SELL	2
1521	251	(birds)cry/chirp	鸣（鸟）				???	
1523	251	close (the mouth) lightly	抿着（嘴）				???	
1525	251	stroke; touch	摸	1892	TOUCH	1892	TOUCH	2
1526	251	whet (a knife)	磨（刀）	251	SHARPEN (SOMETHING)	251	SHARPEN (SOMETHING)	2
1527	252	grind (flour)	磨（面）	1033	GRIND	1033	GRIND	2
1533	252	twist (a tower)	拧（毛巾）	3199	TWIST (AROUND)	430	TWIST	4
1535	252	vomit/throw up	呕吐	1278	VOMIT	1278	VOMIT	2
1536	252	(people) crawl	爬（人）	96	CRAWL	96	CRAWL	4
1546	252	compensate	赔偿				???	
1552	252	chop (firewood)	劈（柴）	155	CHOP	1437	SPLIT	4
1553	252	float	漂浮	1574	FLOAT	1574	FLOAT	2
1561	252	cut/rip open	剖	1432	CUT		???	
1562	252	pave; lay	铺	2071	LAY (VERB)	1568	ARRANGE	4
1566	252	ride	骑	367	RIDE	367	RIDE	2
1568	252	pull/lead (a cow) along	牵（牛）	43	LEAD (GUIDE)	43	LEAD (GUIDE)	2
1569	252	to owe (money)	欠（钱）	369	OWE	369	OWE	4
1574	252	cut up (vegetable)	切（菜）	2149	CHOP (INTO PIECES)	4
1580	252	fully recover (from an illness)	痊愈（病）	1978	RECOVER	4
1587	252	heat up (cold rice)	热（饭）	1341	HEAT UP	2110	WARM (OF WEATHER)	4
1596	252	piss; pee	撒（尿）	592	PISS	2064	SCATTER (SEEDS)	4
1597	252	scatter (seeds)	撒（种）	2064	SCATTER (SEEDS)	2064	SCATTER (SEEDS)	4
1601	252	seep [sweep]	扫	230	SWEEP	2
1602	252	kill	杀	1417	KILL	2
1604	252	dry (clothes) in the sun	晒（衣服）	3364	DRY IN SUN	4
1611	252	shoot (an arrow)	射（箭）	1172	SHOOT	4
1613	252	stretch out (the arm)	伸	214	STRETCH	214	STRETCH	4
1634	252	to comb	梳	2070	COMB (VERB)	2070	COMB (VERB)	2
1635	252	lose (a game)	输	1660	LOSE	1660	LOSE	2
1638	252	(fruit) be ripe	熟（果子）	178	RIPE	178	RIPE	4
1643	252	fling; toss	甩	1456	THROW		???	
1645	252	tie (a cow) to	栓（牛）				???	
1648	252	suck	吮	1421	SUCK	1421	SUCK	2
1649	252	say	说	1458	SAY	1623	SPEAK	2
1650	252	tear up, rip	撕	1735	TEAR (SHRED)	1437	SPLIT	2
1651	252	die	死	1494	DIE	1494	DIE	2
1656	252	lock (the door)	锁（门）		1596	LOCK	4
1663	252	escape; run away	逃跑	956	FLEE	2142	RUN AWAY	2
1666	252	(head) ache	痛（头痛）	1815	ACHE	2411	HURT (SOMEBODY)	4
1668	252	shave (the head)	剃头	231	SHAVE		???	
1674	252	lick, lap	添	319	LICK	319	LICK	2
1681	252	listen	听	1608	LISTEN	1408	HEAR	2
1688	252	spit (noun or verb?)	吐（痰）			1440	SPIT	2
1707	252	to smell	闻（嗅）	2124	SMELL	1586	SMELL (PERCEIVE)	4
