NUMBER	PAGE	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	242	sky	天	1732	SKY	1732	SKY	2
2	242	sun	太阳	1343	SUN	1343	SUN	2
4	242	moon	月亮	1313	MOON	1313	MOON	2
5	242	star	星星	1430	STAR	1430	STAR	2
7	242	cloud	云	1489	CLOUD	1489	CLOUD	2
8	242	thunder	雷	1150	THUNDER	1150	THUNDER	2
9	242	wind	风	960	WIND	960	WIND	2
12	242	snow	雪	784	SNOW	784	SNOW	2
14	242	frost	霜	2034	FROST	2034	FROST	2
17	242	ice	冰	617	ICE	617	ICE	2
18	242	fire	火	221	FIRE	221	FIRE	2
19	242	smoke	烟	778	SMOKE (EXHAUST)	778	SMOKE (EXHAUST)	2
20	242	air; breath	气	27	AIR	27	AIR	2
22	242	earth	土地	1228	EARTH (SOIL)	1228	EARTH (SOIL)	2
23	242	mountain	山	639	MOUNTAIN	639	MOUNTAIN	2
24	242	hillside; mountain slope	山坡	3297	PRECIPICE OR SLOPE	2
30	242	river	河	666	RIVER	666	RIVER	2
31	242	lake	湖	624	LAKE	624	LAKE	2
32	242	sea	海	1474	SEA	1474	SEA	2
38	242	path; road	路	2457	PATH OR ROAD	2252	PATH	2
40	242	soil; earth	土	2158	EARTH (WET SUBSTANCE)	1228	EARTH (SOIL)	2
42	242	paddy fields	水田	140	PADDY FIELD	140	PADDY FIELD	2
43	242	stone	石头	857	STONE	857	STONE	2
44	242	sand	沙子	671	SAND	671	SAND	2
46	242	mud	泥巴	640	MUD	640	MUD	2
47	242	water	水	948	WATER	948	WATER	2
50	242	forest	森林	420	FOREST	420	FOREST	2
51	243	gold	金子	1369	GOLD	1369	GOLD	2
52	243	silver	银子	759	SILVER	759	SILVER	2
53	243	copper, bronze	铜	3192	BRONZE OR COPPER	1825	COPPER	2
54	243	iron	铁	621	IRON	621	IRON	2
61	243	salt	盐	1274	SALT	1274	SALT	2
66	243	village	村子	930	VILLAGE	930	VILLAGE	2
70	243	bridge	桥	1011	BRIDGE	1011	BRIDGE	2
74	243	head	头	1256	HEAD	1256	HEAD	2
75	243	hair	头发	2648	HAIR (HEAD)	1040	HAIR	2
79	243	eye	眼睛	1248	EYE	1248	EYE	2
94	243	breasts	乳房	1402	BREAST	1402	BREAST	2
96	243	belly	肚子	1251	BELLY	1251	BELLY	2
103	243	foot	脚	1301	FOOT	1301	FOOT	2
107	243	hand	手	1277	HAND	1277	HAND	2
109	243	finger	手指	1303	FINGER	1303	FINGER	2
113	243	nail	指甲	1258	FINGERNAIL	1258	FINGERNAIL	2
118	243	female genitals	女生殖器		VAGINA	1836	VAGINA	2
120	243	skin	皮肤	763	SKIN	763	SKIN	2
125	243	scar	疤	497	SCAR	497	SCAR	2
129	243	blood	血	946	BLOOD	946	BLOOD	2
130	243	tendon; sinew	筋	1137	TENDON	1137	TENDON	2
132	243	brains	脑髓	1583	BRAIN	1583	BRAIN	2
133	243	bone	骨头	1394	BONE	1394	BONE	2
139	243	tongue	舌头	1205	TONGUE	1205	TONGUE	2
143	243	lung	肺	688	LUNG	688	LUNG	2
144	243	heart	心脏	1223	HEART	1223	HEART	2
145	243	liver	肝	1224	LIVER	1224	LIVER	2
