ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
1	i	1	m	m	Ø	m	m	Ø	m	m	m	Ø	1:0
2	n	1	æ	ɚ/ə	Ø	æ	æ	Ø	a	ɚ/ə̃	a	Ø	1:1
3	c	1	-	-	Ø	-	-	Ø	n	-	-	Ø	1:2
4	t	1	1b/¹	²¹	Ø	²¹	¹²	Ø	²¹	²¹	³⁵	Ø	1:3
5	i	1	ɖʐ	tʰ	tɕ	tɕ	dz	tɕ	ts	tsʰ	ʐ	Ø	9:0
6	m	1	-	i/j	i	i/j	-	i/j	-	-	-	Ø	9:1
7	n	1	o	ɯ	u	o	ao	o	ṽ/ʯ̃	u	y	Ø	9:2
8	t	1	⁴	⁴²	²¹	²¹	²¹	²¹	⁴²	⁴²	⁴²	Ø	9:3
9	i	1	s	s	ts	ts	s	ts	s	s	s	s	21:0
10	n	1	u	o	o	a	a	a	v/ʯ	o	v/ʯ	i	21:1
11	c	1	ŋ	ŋ	-	-	ŋ	-	ŋ	ŋ	ŋ	-	21:2
12	t	1	³	³¹	⁵⁵	⁵⁵	⁴²	⁵⁵	³¹	²¹	²¹	³¹	21:3
13	i	1	m	m	m	m	m	m	m	m	m	m	32:0
14	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	32:1
15	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	32:2
16	i	1	ɣ	ɣ	Ø	Ø	Ø	Ø	ɣ	ɣ	Ø	Ø	43:0
17	n	1	u	ou	Ø	Ø	Ø	Ø	ou	o	Ø	Ø	43:1
18	t	1	⁴	⁴²	Ø	Ø	Ø	Ø	⁴²	⁴²	Ø	Ø	43:2
19	n	1	Ø	Ø	u	u	u	u	Ø	Ø	o	ou	44:0
20	t	1	Ø	Ø	⁴²	²¹	²¹	⁴²	Ø	Ø	³³	⁴²	44:1
21	i	1	ɖʐ	ʈʂ	ts	ts	ɖʐ	tɕ	ts	dz	ʐ	ts	53:0
22	n	1	i	i	ɛ	ɿ	i	ɚ/ə	a	i	ɚ/ə	i	53:1
23	t	1	¹	³¹	²¹	²¹	²¹	²¹	²¹	²¹	³⁵	²¹	53:2
24	i	1	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	pʰ	64:0
25	n	1	æ	Ø	*/ə	æ	a	ã	a	ɚ/ə	a	o	64:1
26	c	1	n	Ø	-	-	n	-	n	-	ŋ	-	64:2
27	t	1	³	Ø	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	64:3
28	i	1	Ø	Ø	m	m	m	m	m	m	m	m	65:0
29	m	1	Ø	Ø	-	-	-	-	-	-	-	i/j	65:1
30	n	1	Ø	Ø	a	a	a	ã	a	ɚ/ə̃	a	ɛ	65:2
31	c	1	Ø	Ø	-	-	n	-	n	-	ŋ	-	65:3
32	t	1	Ø	Ø	⁴²	⁴³	²²	⁴²	³¹	²¹	²¹	³¹	65:4
33	i	1	tʰ	ʈʂʰ	tɕʰ	tʰ	Ø	ʈʰ	tsʰ	tsʰ	tʰ	Ø	82:0
34	m	1	r	-	i/j	i	Ø	-	-	-	i	Ø	82:1
35	n	1	o	ou	o	u	Ø	o	ou	o	u	Ø	82:2
36	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	Ø	⁵⁵	⁴⁴	⁴⁴	⁴²	Ø	82:3
37	i	1	g	k	k	k	g	k	k	k	g	k	93:0
38	n	1	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	ɯ	93:1
39	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	93:2
40	i	1	h	Ø	x	χ	x	x	Ø	x	h	x	104:0
41	m	1	u/w	Ø	u/w	u/w	u/w	u/w	Ø	u/w	u/w	u/w	104:1
42	n	1	a	Ø	a	a	a	a	Ø	a	ɔ	a	104:2
