ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS
43	t	1	⁴	Ø	⁴⁴	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	⁴²	⁴⁴	104:3
44	i	1	ŋ	Ø	Ø	ŋ	ŋ	Ø	Ø	Ø	Ø	Ø	114:0
45	n	1	o	Ø	Ø	o	o	Ø	Ø	Ø	Ø	Ø	114:1
46	t	1	³	Ø	Ø	⁴³	⁴²	Ø	Ø	Ø	Ø	Ø	114:2
47	i	1	tsʰ	tɕʰ	tsʰ	tsʰ	tɕʰ	Ø	tɕʰ	t	tɕʰ	Ø	119:0
48	m	1	j	-	-	-	-	Ø	-	-	-	Ø	119:1
49	n	1	i	*/ə	i	i	i	Ø	i	o	i	Ø	119:2
50	t	1	¹	⁰	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	²¹	⁵⁵	Ø	119:3
51	i	1	h	Ø	Ø	Ø	h	Ø	Ø	Ø	h	Ø	133:0
52	n	1	a	Ø	Ø	Ø	a	Ø	Ø	Ø	a	Ø	133:1
53	c	1	ŋ	Ø	Ø	Ø	ŋ	Ø	Ø	Ø	ŋ	Ø	133:2
54	t	1	⁵	Ø	Ø	Ø	⁴²	Ø	Ø	Ø	²¹	Ø	133:3
55	i	1	Ø	x	x	χ	Ø	x	x	Ø	Ø	Ø	132:0
56	n	1	Ø	ã	a	a	Ø	a	ɑ̃	Ø	Ø	Ø	132:1
57	t	1	Ø	⁴²	⁴²	⁴³	Ø	⁴²	⁴²	Ø	Ø	Ø	132:2
58	i	1	ŋ	ŋ	ŋ	ɴ	ŋ	Ø	Ø	n	ŋ	ŋ	141:0
59	n	1	ɔ	õ	o	o	a	Ø	Ø	e	ɔ	o	141:1
60	c	1	-	-	-	-	-	Ø	Ø	n	-	-	141:2
61	t	1	³	³¹	⁴²	⁴³	⁴²	Ø	Ø	⁴²	²¹	³¹	141:3
62	i	1	pʰ	Ø	pʰ	pʰ	pʰ	Ø	Ø	p	Ø	p	152:0
63	n	1	a	Ø	a	a	a	Ø	Ø	ɛ	Ø	e	152:1
64	t	1	¹	Ø	⁴⁴	⁵⁵	²⁴	Ø	Ø	⁵⁵	Ø	³⁵	152:2
65	i	1	m	m	ɲ	m	ɲ	ɲ	m	Ø	-	Ø	161:0
66	m	1	j	i/j	i/j	i/j	y/ɥ	i/j	i/j	Ø	ju/ɥ	Ø	161:1
67	n	1	æ	er/e	a	a	ɛ	o	a	Ø	a	Ø	161:2
68	c	1	-	-	-	-	-	-	n	Ø	ŋ	Ø	161:3
69	t	1	¹	³⁵	⁴⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	161:4
70	i	1	p	Ø	Ø	p	Ø	Ø	Ø	p	Ø	p	172:0
71	n	1	e	Ø	Ø	i	Ø	Ø	Ø	ɛ	Ø	e	172:1
72	t	1	¹	Ø	Ø	²⁴	Ø	Ø	Ø	⁵⁵	Ø	³⁵	172:2
73	i	1	Ø	Ø	ɕ	Ø	ɕ	ɕ	Ø	Ø	Ø	Ø	171:0
74	n	1	Ø	Ø	i	Ø	i	i	Ø	Ø	Ø	Ø	171:1
75	t	1	Ø	Ø	⁴⁴	Ø	²⁴	⁴⁴	Ø	Ø	Ø	Ø	171:2
76	i	1	ʔ	Ø	Ø	ʔ	Ø	Ø	ʔ	Ø	Ø	Ø	184:0
77	n	1	o	Ø	Ø	o	Ø	Ø	v/ʯ	Ø	Ø	Ø	184:1
78	t	1	⁴	Ø	Ø	⁵⁵	Ø	Ø	⁴⁴	Ø	Ø	Ø	184:2
79	n	1	Ø	o	Ø	Ø	ao	Ø	Ø	Ø	Ø	v/ʯ	181:0
80	t	1	Ø	⁵⁵	Ø	Ø	²⁴	Ø	Ø	Ø	Ø	⁵⁵	181:1
81	i	1	qʰ	Ø	qʰ	qʰ	qʰ	qʰ	Ø	kʰ	Ø	kʰ	192:0
82	n	1	u	Ø	u	u	u	u	Ø	o	Ø	u	192:1
83	t	1	¹	Ø	²⁴	²⁴	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	192:2
84	i	1	ɣ	k	Ø	q	ɣ	Ø	Ø	Ø	g	Ø	200:0
85	m	1	u/w	u/w	Ø	u/w	u/w	Ø	Ø	Ø	u/w	Ø	200:1
86	n	1	a	a	Ø	a	a	Ø	Ø	Ø	o	Ø	200:2
87	t	1	⁴	⁴²	Ø	²¹	²¹	Ø	Ø	Ø	⁴²	Ø	200:3
88	i	1	p	Ø	f	p	pf	f	Ø	p	f	p	207:0
89	m	1	j	Ø	-	-	-	-	Ø	-	-	-	207:1
90	n	1	o	Ø	e	o	ɯ	ɚ/ə	Ø	o	v/ʯ	o	207:2
91	t	1	²	Ø	²²	²²	²²	²²	Ø	²¹	³³	²¹	207:3
92	i	1	sʰ	sʰ	s	s	s	s	Ø	s	s	s	216:0
93	m	1	u/w	u/w	u/w	u/w	u/w	u/w	Ø	u/w	u/w	u/w	216:1
94	n	1	a	a	a	a	a	a	Ø	a	ɔ	a	216:2
95	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	Ø	⁴⁴	⁴²	⁴⁴	216:3
96	i	1	tɕʰ	tɕʰ	Ø	tɕʰ	tɕʰ	Ø	tɕʰ	tɕʰ	tɕʰ	tɕʰ	227:0
97	n	1	i	i	Ø	i	i	Ø	i	i	i	i	227:1
98	t	1	⁴	⁴⁴	Ø	⁵⁵	⁵⁵	Ø	⁴⁴	⁴⁴	⁴²	⁵⁵	227:2
99	i	1	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	236:0
100	n	1	u	õ	õ	o	o	*/ə	ṽ/ʯ̃	o	v/ʯ	i	236:1
101	c	1	ŋ	-	-	-	ŋ	ŋ	-	ŋ	ŋ	-	236:2
102	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	236:3
103	i	1	b	p	p	p	b	p	p	p	Ø	p	247:0
104	m	1	r	-	-	-	-	-	-	-	Ø	-	247:1
105	n	1	i	i	ɯ	ɯ	u	ɯ	õ	i	Ø	i	247:2
106	t	1	1b/¹	²¹	²¹	²¹	¹²	²¹	²¹	⁵⁵	Ø	²¹	247:3
107	i	1	Ø	Ø	tɕ	ts	dz	tɕ	Ø	Ø	Ø	Ø	249:0
108	n	1	Ø	Ø	i	u	u	i	Ø	Ø	Ø	Ø	249:1
109	t	1	Ø	Ø	²¹	⁴³	¹²	²¹	Ø	Ø	Ø	Ø	249:2
110	i	1	Ø	p	Ø	Ø	Ø	Ø	Ø	p	Ø	p	248:0
111	n	1	Ø	o	Ø	Ø	Ø	Ø	Ø	əɯ	Ø	ɯ	248:1
112	t	1	Ø	²¹	Ø	Ø	Ø	Ø	Ø	²¹	Ø	²¹	248:2
113	i	1	ts	tɕ	ts	ts	tɕ	ts	tɕ	tɕ	tɕ	tɕ	267:0
114	m	1	j	i/j	-	-	-	-	i/j	-	i/j	-	267:1
115	n	1	e	e	ɛ	i	i	ẽ	e	e	e	i	267:2
116	c	1	n	n	-	-	n	-	n	n	n	-	267:3
117	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁵³	267:4
118	i	1	p	p	Ø	p	Ø	Ø	p	p	Ø	p	278:0
119	m	1	r	i/j	Ø	i/j	Ø	Ø	i/j	i/j	Ø	i/j	278:1
120	n	1	æ	ɚ/ə	Ø	æ	Ø	Ø	a	ɚ/ə	Ø	ɛ	278:2
121	t	1	⁴	⁴⁴	Ø	⁵⁵	Ø	Ø	⁴⁴	⁴⁴	Ø	⁴⁴	278:3
122	i	1	Ø	Ø	Ø	Ø	tɕ	tɕ	Ø	Ø	ʈʂ	Ø	280:0
123	m	1	Ø	Ø	Ø	Ø	u/w	u/w	Ø	Ø	u/w	Ø	280:1
124	n	1	Ø	Ø	Ø	Ø	ɛ	a	Ø	Ø	a	Ø	280:2
125	t	1	Ø	Ø	Ø	Ø	²⁴	⁵⁵	Ø	Ø	⁴²	Ø	280:3
126	i	1	s	ʂ	tsʰ	s	ts	ʂ	s	s	ʂ	s	289:0
127	m	1	r	-	-	-	u/w	-	-	-	-	-	289:1
128	n	1	i	i	i	ɿ	a	ɚ/ə	a	i	i	i	289:2
129	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴	⁵⁵	289:3
130	i	1	p	p	Ø	Ø	Ø	Ø	p	pʰ	p	p	300:0
131	n	1	ɛ	e	Ø	Ø	Ø	Ø	ẽ	o	ɛ	e	300:1
132	t	1	²	³³	Ø	Ø	Ø	Ø	⁵⁵	⁵⁵	³³	³³	300:2
133	i	1	Ø	Ø	Ø	ɕ	-	ɕ	Ø	Ø	Ø	Ø	303:0
134	m	1	Ø	Ø	Ø	i/j	j	i/j	Ø	Ø	Ø	Ø	303:1
135	n	1	Ø	Ø	Ø	a	a	a	Ø	Ø	Ø	Ø	303:2
136	t	1	Ø	Ø	Ø	²⁴	⁵⁵	⁵⁵	Ø	Ø	Ø	Ø	303:3
137	i	1	Ø	Ø	Ø	x	x	x	Ø	ɕ	Ø	Ø	304:0
138	n	1	Ø	Ø	Ø	ɯ	ɯ	ɯ̃	Ø	ɚ/ə	Ø	Ø	304:1
139	t	1	Ø	Ø	Ø	²²	⁴²	⁴²	Ø	⁵⁵	Ø	Ø	304:2
140	i	1	p	p	p	p	p	p	p	p	p	p	316:0
141	n	1	ɯ	ɯ	ɯ	ɯ	u	ɯ	ɯ	əɯ	ɯ	ɯ	316:1
142	t	1	²	³³	²²	²²	³³	²²	³³	³³	³³	³³	316:2
143	i	1	ɣ	ɣ	x	Ø	ɣ	x	ɣ	ɣ	ɣ	ɣ	327:0
144	n	1	ɯ	ɯ	ɯ̃	Ø	e	ẽ	eə	ə	ɯ	ɯ	327:1
145	t	1	²	³³	²²	Ø	²²	⁵⁵	³³	³³	³³	³³	327:2
146	i	1	q	k	q	Ø	q	q	k	k	q	Ø	338:0
147	m	1	u/w	u/w	u/w	Ø	u/w	u/w	u/w	u/w	u/w	Ø	338:1
148	n	1	ɛ	e	ɛ	Ø	ɛ	e	a	ɛ	ɛ	Ø	338:2
149	t	1	³	⁴²	⁴²	Ø	⁴²	⁴²	⁴⁴	⁴⁴	²¹	Ø	338:3
150	i	1	ts	ʈʂ	tɕ	tɕ	ts	tɕ	ts	ts	ʈʂ	ts	348:0
151	m	1	r	-	-	-	-	-	-	-	-	-	348:1
152	n	1	o	o	u	o	ao	u	v/ʯ	u	v/ʯ	v/ʯ	348:2
153	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	348:3
154	i	1	ŋ	u/w	ŋ	ŋ	u/w	Ø	u/w	Ø	u/w	u/w	359:0
155	m	1	u/w	-	u/w	u/w	-	Ø	-	Ø	-	-	359:1
156	n	1	e	e	ɛ	i	e	Ø	ẽ	Ø	e	ɛ	359:2
157	c	1	n	n	-	-	n	Ø	-	Ø	n	-	359:3
158	t	1	¹	²¹	²¹	²¹	¹²	Ø	²¹	Ø	³⁵	²¹	359:4
159	i	1	m	Ø	Ø	m	m	Ø	Ø	Ø	Ø	m	369:0
160	n	1	i	Ø	Ø	i	i	Ø	Ø	Ø	Ø	i	369:1
161	t	1	1b/¹	Ø	Ø	²¹	¹²	Ø	Ø	Ø	Ø	²¹	369:2
162	i	1	d	Ø	tɕ	d	Ø	tɕ	Ø	Ø	d	Ø	3802:0
163	m	1	r	Ø	y/ɥ	i/j	Ø	y/ɥ	Ø	Ø	j	Ø	3802:1
164	n	1	ɯ	Ø	i	ɯ	Ø	i	Ø	Ø	ɯ	Ø	3802:2
165	t	1	³	Ø	²¹	⁴³	Ø	²¹	Ø	Ø	²¹	Ø	3802:3
166	i	1	b	p	Ø	p	b	Ø	p	p	b	p	379:0
167	n	1	e	e	Ø	i	i	Ø	e	e	i	e	379:1
168	t	1	¹	²¹	Ø	²¹	²¹	Ø	²¹	²¹	³⁵	²¹	379:2
169	i	1	Ø	ʈʂ	dʑ	Ø	ɖʐ	ɖ	ts	Ø	Ø	ts	378:0
170	n	1	Ø	ɯ	i	Ø	i	ɯ	ɯ	Ø	Ø	ɯ	378:1
171	t	1	Ø	²¹	⁴²	Ø	¹²	⁴²	³¹	Ø	Ø	⁰	378:2
172	i	1	z	z	z	z	z	z	s	z	z	z	400:0
173	n	1	ɔ	au	o	o	ao	ao	ou	o	ɔ	o	400:1
174	t	1	¹	²¹	²¹	⁴³	¹²	²¹	²¹	²¹	³⁵	²¹	400:2
175	i	1	t	Ø	t	t	t	t	t	t	t	t	412:0
176	n	1	æ	Ø	a	æ	e	ã	a	ɚ/ə	a	ɛ	412:1
177	c	1	-	Ø	-	-	n	-	n	-	-	-	412:2
178	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	412:3
179	i	1	tɕ	tɕ	tɕʰ	tɕ	tɕ	tɕ	Ø	tɕ	tɕ	Ø	422:0
180	m	1	-	-	-	i/j	-	-	Ø	-	i/j	Ø	422:1
181	n	1	ɯ	i	i	ɯ	i	i	Ø	i	ɯ	Ø	422:2
182	t	1	¹	³⁵	⁵⁵	²⁴	²²	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	422:3
183	i	1	Ø	kʰ	qʰ	qʰ	qʰ	qʰ	Ø	kʰ	qʰ	Ø	423:0
184	n	1	Ø	a	o	a	a	a	Ø	a	ɔ	Ø	423:1
185	t	1	Ø	⁴⁴	⁴⁴	⁵⁵	⁵⁵	⁴⁴	Ø	⁴⁴	⁴²	Ø	423:2
186	i	1	b	p	Ø	Ø	Ø	Ø	p	p	Ø	p	441:0
187	m	1	r	-	Ø	Ø	Ø	Ø	i	-	Ø	-	441:1
188	n	1	i	i	Ø	Ø	Ø	Ø	ə	i	Ø	i	441:2
189	t	1	²	²¹	Ø	Ø	Ø	Ø	²¹	²¹	Ø	²¹	441:3
190	i	1	q	k	q	q	q	q	k	k	q	k	452:0
191	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	452:1
192	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁵⁵	452:2
193	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	kʰ	kʰ	qʰ	kʰ	463:0
194	n	1	a	a	o	a	a	a	ɑ	ɐ	ɔ	a	463:1
195	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	463:2
196	i	1	d	kʰ	tɕʰ	t	dz	tɕʰ	ts	tɕʰ	d	ts	474:0
197	m	1	r	-	-	i/j	-	-	-	y/ɥ	i/j	-	474:1
198	n	1	o	o	u	o	o	u	õ	i	o	o	474:2
199	c	1	ŋ	-	-	-	ŋ	-	-	-	ŋ	-	474:3
200	t	1	¹	³³	⁴²	²¹	¹²	⁴²	²¹	²¹	³⁵	²¹	474:4
201	i	1	pʰ	f	Ø	f	pf	Ø	f	pʰ	f	f	490:0
202	m	1	j	-	Ø	-	-	Ø	-	-	-	-	490:1
203	n	1	u	ṽ/ʯ̃	Ø	o	u	Ø	ṽ/ʯ̃	e	ɚ/ə̃	v/ʯ	490:2
204	c	1	ŋ	-	Ø	-	ŋ	Ø	-	n	-	-	490:3
205	t	1	¹	⁵⁵	Ø	²⁴	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	⁵⁵	490:4
206	i	1	p	f	Ø	f	Ø	Ø	f	p	f	f	501:0
207	m	1	j	-	Ø	-	Ø	Ø	-	-	-	-	501:1
208	n	1	u	o	Ø	o	Ø	Ø	v/ʯ	ɯ	ɚ/ə	v/ʯ	501:2
209	t	1	⁴	⁴⁴	Ø	²⁴	Ø	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	501:3
210	i	1	Ø	Ø	x	Ø	ʐ	ʐ	Ø	Ø	Ø	Ø	502:0
211	n	1	Ø	Ø	u	Ø	i	ɚ/ə	Ø	Ø	Ø	Ø	502:1
212	t	1	Ø	Ø	⁴⁴	Ø	²¹	⁴²	Ø	Ø	Ø	Ø	502:2
213	i	1	d	t	d	d	d	d	t	d	d	t	512:0
214	n	1	ɔ	ou	o	a	a	o	ou	o	ɔ	o	512:1
215	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	512:2
216	i	1	b	f	Ø	f	b	Ø	f	pʰ	v	Ø	523:0
217	m	1	j	-	Ø	-	v	Ø	-	-	-	Ø	523:1
218	n	1	o	v/ʯ	Ø	o	u	Ø	v/ʯ	əɯ	ɚ/ə	Ø	523:2
219	t	1	⁴	⁴²	Ø	²¹	²¹	Ø	⁴²	⁴²	⁴²	Ø	523:3
220	n	1	Ø	Ø	u	Ø	Ø	u	Ø	Ø	Ø	v/ʯ	524:0
221	t	1	Ø	Ø	⁴²	Ø	Ø	²¹	Ø	Ø	Ø	⁴²	524:1
222	i	1	ts	ts	ts	ts	ts	ts	ts	ts	ts	ts	3225:0
223	n	1	o	ou	u	u	u	o	ou	o	u	ou	3225:1
224	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	3225:2
225	i	1	kʰ	kʰ	tsʰ	Ø	ʈʂʰ	tɕʰ	kʰ	tɕʰ	ʈʂʰ	kʰ	545:0
226	m	1	r	-	-	Ø	-	-	-	-	-	-	545:1
227	n	1	o	o	ɛ	Ø	i	ɚ/ə	v/ʯ	u	ɚ/ə	v/ʯ	545:2
228	t	1	³	³³	⁴⁴	Ø	⁴²	⁴²	³¹	²¹	²¹	³³	545:3
229	i	1	qʰ	kʰ	qʰ	qʰ	qʰ	qʰ	qʰ	kʰ	qʰ	kʰ	556:0
230	m	1	-	-	-	-	m	-	-	-	-	-	556:1
231	n	1	u	u	u	u	u	u	u	u	o	u	556:2
232	t	1	²	³³	²²	²²	²²	²²	²²	³³	³³	³¹	556:3
233	i	1	χ	x	x	χ	χ	x	x	x	x	x	1143:0
234	n	1	ɯ	ɯ	ɯ	ɯ	e	ɯ	ɯ	ɯ	ɚ/ə	ɯ	1143:1
235	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1143:2
236	i	1	pʰ	Ø	pʰ	pʰ	pʰ	pʰ	Ø	pʰ	pʰ	Ø	579:0
237	n	1	ɯ	Ø	ɯ	ɯ	ɯ	ɯ	Ø	əɯ	ɯ	Ø	579:1
238	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	Ø	⁵⁵	⁵⁵	Ø	579:2
239	i	1	pʰ	pʰ	pʰ	pʰ	p	pʰ	pʰ	pʰ	pʰ	pʰ	599:0
240	n	1	ɯ	u	ɯ	ɯ	u	ɯ	ɯ	əɯ	ɯ	əɯ	599:1
241	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	599:2
242	m	1	j	j	Ø	Ø	j	Ø	j	j	j	j	3745:0
243	n	1	e	e	Ø	Ø	e	Ø	e	e	e	e	3745:1
244	c	1	n	n	Ø	Ø	n	Ø	n	n	n	-	3745:2
245	t	1	1b/¹	²¹	Ø	Ø	¹²	Ø	²¹	²¹	³⁵	²¹	3745:3
246	i	1	Ø	Ø	ɲ	ɲ	Ø	ɲ	Ø	Ø	Ø	Ø	611:0
247	m	1	Ø	Ø	-	i/j	Ø	-	Ø	Ø	Ø	Ø	611:1
248	n	1	Ø	Ø	a	a	Ø	ɚ/ə	Ø	Ø	Ø	Ø	611:2
249	t	1	Ø	Ø	²¹	²¹	Ø	²¹	Ø	Ø	Ø	Ø	611:3
250	i	1	q	k	q	q	q	q	k	k	k	k	621:0
251	m	1	u/w	u/w	u/w	u/w	u/w	u/w	u	u/w	-	u/w	621:1
252	n	1	a	a	a	a	a	a	ɑ	a	u	a	621:2
253	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	621:3
254	i	1	n	n	n	n	n	n	n	n	n	n	632:0
255	n	1	o	õ	õ	o	o	õ	õ	ɚ/ə̃	v/ʯ	ao	632:1
256	c	1	-	-	-	-	ŋ	-	-	-	-	-	632:2
257	t	1	²	³³	²²	²²	²²	²²	³³	²²	³³	³¹	632:3
258	i	1	b	p	p	p	b	p	p	Ø	b	p	645:0
259	n	1	a	a	a	a	a	a	ɑ	Ø	o	a	645:1
260	t	1	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	Ø	⁴²	⁴²	645:2
261	i	1	g	k	k	k	g	k	k	k	g	k	656:0
262	m	1	-	-	-	-	-	-	u/w	-	-	-	656:1
263	n	1	u	u	v/ʯ	u	u	v/ʯ	o	v/ʯ	v/ʯ	u	656:2
264	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	656:3
265	i	1	Ø	Ø	Ø	ɲ	-	Ø	-	-	-	Ø	667:0
266	m	1	Ø	Ø	Ø	i/j	j	Ø	j	j	j	Ø	667:1
267	n	1	Ø	Ø	Ø	o	o	Ø	õ	o	v/ʯ	Ø	667:2
268	c	1	Ø	Ø	Ø	-	ŋ	Ø	-	ŋ	ŋ	Ø	667:3
269	t	1	Ø	Ø	Ø	²⁴	⁵⁵	Ø	⁵⁵	⁵⁵	⁵⁵	Ø	667:4
270	i	1	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	tʰ	668:0
271	m	1	j	-	-	-	-	i/j	-	-	-	-	668:1
272	n	1	e	i	i	i	i	e	i	ɛ	i	e	668:2
273	t	1	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	668:3
274	i	1	g	k	k	k	g	k	k	k	g	k	678:0
275	n	1	o	o	v/ʯ	u	ao	v/ʯ	v/ʯ	v/ʯ	v/ʯ	v/ʯ	678:1
276	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	678:2
277	i	1	m	m	m	m	m	m	m	m	m	m	689:0
278	n	1	æ	ɚ/ə	a	æ	æ	a	a	ɚ/ə	a	ɛ	689:1
279	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	²¹	²¹	⁴²	689:2
280	i	1	m	m	m	m	m	m	m	m	m	m	700:0
281	n	1	ɛ	e	ɛ	ᴇ/ɛ	e	e	e	e	ɛ	e	700:1
282	c	1	-	-	-	-	n	-	-	-	-	-	700:2
283	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	²¹	²¹	²¹	700:3
284	i	1	b	-	Ø	Ø	Ø	Ø	Ø	p	Ø	-	711:0
285	m	1	j	j	Ø	Ø	Ø	Ø	Ø	i/j	Ø	j	711:1
286	n	1	o	ɚ/ə	Ø	Ø	Ø	Ø	Ø	ɛ̃	Ø	ɛ	711:2
287	t	1	²	³¹	Ø	Ø	Ø	Ø	Ø	⁴²	Ø	²¹	711:3
288	i	1	Ø	Ø	v	Ø	Ø	v	Ø	p	v	Ø	712:0
289	n	1	Ø	Ø	ɛ	Ø	Ø	e	Ø	a	ɚ/ə	Ø	712:1
290	t	1	Ø	Ø	²²	Ø	Ø	²²	Ø	²¹	³³	Ø	712:2
291	i	1	x	Ø	x	x	x	x	Ø	Ø	Ø	Ø	723:0
292	m	1	u/w	Ø	u/w	u/w	u/w	u/w	Ø	Ø	Ø	Ø	723:1
