ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS	CONCEPTS
198-1	t	1	⁴	⁴⁴	²¹	⁵⁵	²⁴	⁴²	⁴⁴	⁴⁴	⁴²	⁴⁴	1518:3	fight
262-1	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	³³	2184:2	iron
305-1	t	1	⁴	⁴²	⁵⁵	⁴³	⁴²	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵³	2685:4	mountain
325-1	t	1	⁴	⁴²	⁵⁵	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	2848:2	nephew
337-1	t	1	⁴	³³	⁴⁴	⁵⁵	²⁴	²²	⁴⁴	⁴⁴	⁴²	⁴⁴	2952:4	outside
350-1	t	1	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴²	⁴²	⁴⁴	3084:3	persimmon
377-1	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	²¹	⁴²	⁴²	3590:2	scatter (seeds)
386-1	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	³³	⁴²	³³	3656:3	seep [sweep]
415-1	t	1	⁴	⁴²	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	4143:3	stone
432-1	t	1	⁴	⁴²	⁴²	²¹	²¹	²¹	⁴²	²¹	⁴²	⁴²	4304:3	the 12 animals representing the 12 years
456-1	t	1	⁴	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	4731:3	tongue
484-1	t	1	⁴	⁵⁵	⁴⁴	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	5048:4	weave; knit
526-1	t	1	⁴	³³	⁵⁵	²⁴	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	Ø	874:3	classifier [handfull]
529-1	t	1	⁴	Ø	⁴⁴	⁵⁵	²²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1086:2	cry (verb or noun?, should be made clear later on)
534-1	t	1	⁴	³³	Ø	⁴⁴	²⁴	⁴²	⁴⁴	⁴⁴	⁴²	³³	1130:2	cut/rip open
607-1	t	1	⁴	⁴⁴	⁴⁴	⁵⁵	⁵⁵	⁵⁵	⁴⁴	Ø	⁴²	³¹	3397:2	return
653-1	t	1	⁴	³³	⁵⁵	Ø	²²⁴	⁵⁵	⁴⁴	³³	⁴²	³³	4879:3	unseam (clothing)
719-1	t	1	⁴	⁴²	Ø	⁴³	⁴²	⁴²	⁴²	⁴²	Ø	⁵³	2355:4	leopard; panther
753-1	t	1	⁴	⁴⁴	Ø	⁵⁵	²⁴	Ø	⁴⁴	³¹	⁴²	⁴⁴	4012:3	squeeze (for milk)
780-1	t	1	⁴	⁴⁴	Ø	⁵⁵	⁵⁵	Ø	⁴⁴	⁴⁴	⁴²	⁴⁴	4815:2	twelve
882-1	t	1	⁴	Ø	Ø	²²	²²	⁵⁵	Ø	⁴⁴	Ø	⁴⁴	1166:3	day
915-1	t	1	⁴	Ø	Ø	⁵⁵	⁴²	Ø	Ø	⁴⁴	Ø	⁵⁵	2977:2	paddy rice
577-1	t	1	Ø	³⁵	²¹	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2461:2	lose (a game)
594-1	t	1	Ø	²¹	²¹	⁴³	²¹	²¹	³¹	³¹	²¹	³¹	2966:2	earth quake / paddy fields
707-1	t	1	Ø	³¹	²¹	²¹	¹²	²¹	²¹	³³	Ø	²¹	1717:1	frog
815-1	t	1	Ø	Ø	²¹	²¹	²⁴	²¹	Ø	²¹	³⁵	²¹	1897:3	hair
818-1	t	1	Ø	Ø	⁵⁵	²⁴	¹²	⁵⁵	Ø	-	⁵⁵	³⁵	1898:3	hair
826-1	t	1	Ø	⁴²	⁴⁴	Ø	²¹	²²	⁴²	⁴²	Ø	⁴²	2218:2	key
853-1	t	1	Ø	⁵⁵	⁵⁵	²²	Ø	⁵⁵	⁵⁵	Ø	⁵⁵	³⁵	3932:2	soldier
866-1	t	1	Ø	Ø	⁴²	²¹	²¹	⁴²	Ø	Ø	³³	⁴²	44:1	(rain) fall / easy
873-1	t	1	Ø	²¹	⁴²	Ø	¹²	⁴²	³¹	Ø	Ø	⁰	378:2	bark
883-1	t	1	Ø	³¹	⁴²	⁴³	²⁴	Ø	³¹	³¹	Ø	Ø	1360:2	earth quake
884-1	t	1	Ø	²¹	⁴²	Ø	¹²	⁴²	³¹	Ø	Ø	³¹	1651:2	forest
886-1	t	1	Ø	Ø	⁴²	⁴³	⁵⁵	⁴²	Ø	³³	⁰	Ø	1653:3	forest
908-1	t	1	Ø	⁵⁵	Ø	²²	Ø	Ø	⁵⁵	³³	Ø	²¹	2143:4	ice
947-1	t	1	Ø	⁵⁵	Ø	⁴³	Ø	Ø	Ø	Ø	²¹	Ø	1652:3	forest
953-1	t	1	Ø	Ø	Ø	Ø	Ø	Ø	²¹	Ø	³⁵	³³	4284:3	tender young (plant)
2-51	t	51	¹	²¹	²¹	²¹	¹²	²¹	²¹	²¹	³⁵	²¹	93:2, 656:3, 678:2, 839:3, 1241:3, 1252:3, 1618:2, 2051:3, 2450:4, 2495:2, 2540:4, 3064:2, 3757:2, 3855:3, 4238:3, 5100:2, 5192:4, 752:2, 4929:2, 2600:2, 3667:2, 907:3, 2163:2, 1433:3, 2174:4, 3330:4, 4412:3, 359:4, 3723:4, 1:3, 886:4, 2062:2, 2195:4, 3745:3, 5204:3, 2002:3, 2976:3, 3095:4, 3096:2, 4216:2, 4283:3, 611:3, 3746:3, 369:2, 1841:4, 3183:2, 3184:4, 3734:2, 4217:3, 248:2, 993:2	(birds)cry/chirp / (water flow) / ant / bamboo food steamer / bamboo piece / boat; ship / bridge / buckwheat / cattle / classifier [birds] / classifier [length unit] / classifier [sack of rice] / cloud / door / dragon / escape; run away / float / good / hedgehog / hoe (large) / hoof / interest / intestine; guts / jar / long / love; like / maggot / meat / paddy rice / peach / person / pine / pus / sell / sheep (general) / shoe / sickle / sieve; sifter / silver / smooth / sweat / tea / tender young (plant) / thunder / tiger / to thunder / vegetable oil / whet (a knife) / worm / yellow
3-44	t	44	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	599:2, 1184:4, 1507:2, 1851:4, 2395:4, 2406:4, 2941:2, 3139:3, 3308:3, 3536:3, 3813:3, 3907:2, 3953:4, 4023:4, 4227:4, 4411:3, 853:3, 3964:3, 490:4, 5009:4, 1423:3, 3975:4, 4676:3, 5059:4, 579:2, 1066:3, 3075:4, 3235:3, 3043:3, 3518:4, 5019:4, 4260:2, 4522:2, 4752:2, 667:4, 3824:3, 4366:4, 4367:2, 2806:3, 4475:2, 303:3, 722:2, 1519:2, 4261:4	at night; in the evening / bee / bladder / blow (the trumpet) / brothers / cat / classifier [clothes] / cliffy; precipitous / corpse / deep / empty / fertilizer; manure / fight / grandson / light / listen / name / open / pave; lay / peppery / pick up (food with chopstick) [fasten the belt] / plougshare / pull/lead (a cow) along / salt / sand / sky / slanting; learning / soft / sound / soup / sour / star / swell / tear up, rip / thousand / thunder / to bet / to burn / to plait / to smell / to thunder / transplant (rice seedling); insert / watery/thin (porridge) / wave; wield / weigh (food)
7-30	t	30	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	786:2, 1015:3, 1294:3, 1829:4, 2428:3, 2565:3, 2837:4, 3454:3, 3612:2, 3645:3, 4940:4, 5163:2, 971:2, 1629:3, 1682:4, 412:3, 2622:4, 5152:4, 3384:2, 4085:3, 4909:3, 1218:2, 1587:2, 3825:3, 2327:3, 2755:4, 2805:4, 3194:3, 172:2, 2753:3	[cow louse] / be blind / chicken / close (the mouth) / close (the mouth) lightly / comb / divide; share (things) / dry / fill (a bowl with rice) / fish / fly / fragrant (smell) / gold / high / left / liver / many / monkey / musk / name / needle / pine torches / resin, colophony / river / scoop up (water); ladle out / seed of Chinese prickly ash / slanting; learning / stick / teach / vat; jar / vertical, be standing / wind / winnowing fan
21-6	t	6	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1575:4, 1794:3, 1862:3, 1969:4, 2859:4, 2643:3	firewood / ginger / grease, fat / heart / moon / new
89-5	t	5	¹	³⁵	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	3362:4, 4034:4, 2379:2, 3997:2, 1075:2	correct; right / lift (the lid) / real / spit (noun or verb?) / steam
54-3	t	3	¹	⁵⁵	⁴⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	763:4, 4720:3, 2329:3	chaff; bran / left / today
56-3	t	3	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	896:3, 3835:4, 4581:2	classifier [room] / smoke / to hook
102-3	t	3	¹	³¹	²¹	²¹	²¹	²¹	²¹	²¹	³⁵	²¹	53:2, 724:2, 3769:2	(rice) seedling / cat / silver
428-3	t	3	¹	³⁵	⁵⁵	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	4293:4, 1980:4, 422:3	be hungry / heat up (cold rice) / tendon; sinew
115-2	t	2	¹	²¹	²¹	⁴³	¹²	²¹	²¹	²¹	³⁵	²¹	400:2, 249:2	ant / barley
318-2	t	2	¹	³⁵	²²	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2791:4, 4798:2	nail; tack / turtledove
442-2	t	2	¹	⁵⁵	⁵⁵	²⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4400:3, 181:1	[loach] / three
610-2	t	2	¹	²¹	²¹	²¹	¹²	²²	²¹	⁴⁴	³⁵	²¹	3443:2, 3896:2	ride / soak; steep
647-2	t	2	¹	¹³	⁵⁵	⁵⁵	²²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	Ø	4742:4, 4474:2	to bet / trace; track
673-2	t	2	¹	⁰	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	²¹	⁵⁵	Ø	119:3, 723:3	Chinese chestnut / cat
687-2	t	2	¹	²¹	⁴⁴	²¹	²¹	⁴²	²¹	²¹	³⁵	²¹	379:2, 502:2	bark / belly
722-2	t	2	¹	²¹	Ø	¹²	¹²	²¹	²¹	²¹	³⁵	-	2474:3, 3296:2	loud / pull up (weeds)
778-2	t	2	¹	²¹	⁵⁵	²¹	¹²	Ø	⁴⁴	²¹	³⁵	²¹	4657:2, 3986:3	speech; words; language / to rake (the fields)
869-2	t	2	¹	⁴²	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁵⁵	Ø	³⁵	152:2, 4965:3	[Distillers grains] / vomit/throw up
121-1	t	1	¹	³³	⁴²	²¹	¹²	⁴²	²¹	²¹	³⁵	²¹	474:4	bed
161-1	t	1	¹	-	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	916:4	classifier [sheet of paper]
164-1	t	1	¹	⁰	⁵⁵	²⁴	¹²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1001:2	cold
187-1	t	1	¹	³¹	²¹	²²	²²	²¹	²¹	²¹	³⁵	²¹	1337:4	earrings
213-1	t	1	¹	⁴⁴	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	1731:4	frost
235-1	t	1	¹	⁴²	²²	²¹	²¹	²²	³¹	⁴²	³⁵	³¹	1958:3	head
241-1	t	1	¹	²¹	²¹	²¹	¹²	⁴²	²¹	²¹	³⁵	²¹	2018:3	hide
332-1	t	1	¹	⁵⁵	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	2928:3	onion, scallion
390-1	t	1	¹	³³	²²	²²	²²	²²	³³	³³	³³	⁵⁵	3689:3	shadow
402-1	t	1	¹	⁴²	²¹	²¹	²⁴	²¹	³¹	⁴²	³⁵	²¹	3921:2	mud / soil; earth
419-1	t	1	¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁴²	4154:4	straight
447-1	t	1	¹	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁵⁵	4500:3	to borrow (money) / to borrow (tools)
450-1	t	1	¹	⁵⁵	⁴²	²⁴	⁵⁵	⁴²	⁵⁵	⁵⁵	⁵⁵	⁵⁵	4557:2	to cough
496-1	t	1	¹	²¹	²¹	²¹	²¹	²¹	²¹	⁴²	³⁵	³¹	5214:4	yesterday
507-1	t	1	¹	²¹	²¹	²¹	¹²	²¹	²¹	⁵⁵	Ø	²¹	247:3	ant
567-1	t	1	¹	⁵⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴⁴	⁵⁵	Ø	2141:4	ice
581-1	t	1	¹	³⁵	⁵⁵	Ø	²²	²²	⁵⁵	³³	⁵⁵	³⁵	2517:4	lukewarm
609-1	t	1	¹	Ø	²¹	²¹	¹²	²¹	⁴²	²¹	³⁵	²¹	3433:2	rich
615-1	t	1	¹	³¹	⁴⁴	Ø	¹²	²¹	²¹	²¹	³⁵	²¹	3504:4	round
631-1	t	1	¹	⁵⁵	⁴²	⁴³	⁴²	Ø	⁵⁵	⁵⁵	⁴²	⁵⁵	3996:3	spit (noun or verb?)
679-1	t	1	¹	³⁵	⁴⁴	²⁴	⁵⁵	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	161:4	[castrate (chicken)]
703-1	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁴²	⁵⁵	Ø	1609:4	fling; toss
725-1	t	1	¹	²¹	Ø	²¹	¹²	Ø	²¹	²¹	²⁵	²¹	3010:2	pare/peel with a knife / skin
732-1	t	1	¹	Ø	⁵⁵	²⁴	⁵⁵	⁰	⁵⁵	⁵⁵	⁵⁵	Ø	3234:2	plougshare
748-1	t	1	¹	Ø	⁵⁵	⁵⁵	²⁴	²²	⁵⁵	⁵⁵	⁵⁵	Ø	3576:3	scar
791-1	t	1	¹	Ø	²⁴	²⁴	⁵⁵	⁵⁵	Ø	⁵⁵	Ø	⁵⁵	192:2	[pull up weeds]
802-1	t	1	¹	²¹	Ø	²¹	¹²	Ø	²¹	Ø	³⁵	⁴²	1026:2	compensate
829-1	t	1	¹	⁴²	Ø	²¹	¹²	Ø	²¹	²¹	Ø	²¹	2256:2	lake / sea
843-1	t	1	¹	⁴⁴	⁴²	⁴³	Ø	⁴²	Ø	Ø	²¹	⁴⁴	3478:2	root
856-1	t	1	¹	Ø	Ø	²⁴	¹²	⁵⁵	Ø	⁵⁵	⁰	³¹	4799:2	turtledove
440-1	t	1	³³	³⁵	²²	²²	²²	²²	⁴⁴	³³	²²	³³	4377:2	thread
37-11	t	11	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	929:3, 2280:2, 4918:2, 64:3, 4102:3, 4900:3, 1947:2, 2107:2, 4135:2, 2108:2, 114:2	(soul); spirit / (xx language) / classifier [tree] / he / house / laugh / stinking; smelly / stomach [bird crop] / used, old / vegetable
152-2	t	2	³	³¹	⁴²	⁴²	⁴²	⁴²	⁴²	²¹	²¹	³¹	820:3, 1762:4	chopsticks / garlic
457-2	t	2	³	²¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	³¹	4763:3, 3701:2	sharp / tree
498-2	t	2	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	⁴²	²¹	³¹	5225:3, 141:3	I / you
520-2	t	2	³	³¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	⁴²	809:2, 4045:2	chop (firewood) / step
547-2	t	2	³	³¹	²²	⁴³	⁵⁵	⁴²	³¹	²¹	²¹	²¹	1484:3, 4165:3	fart / straw or palm-bark rain cape
574-2	t	2	³	²¹	²¹	⁴³	⁴²	²¹	³¹	²¹	²¹	³¹	2231:2, 3802:3	bark / kneel / skin
669-2	t	2	³	⁴²	⁴²	⁴³	²²	⁴²	³¹	²¹	²¹	³¹	65:4, 3469:3	(soul); spirit / roast in fire
724-2	t	2	³	³¹	⁴²	²¹	⁴²	²¹	³¹	²¹	²¹	³¹	2754:3, 4602:2	musk / to leak
800-2	t	2	³	²¹	⁴²	⁴²	⁴³	⁴²	³¹	²¹	Ø	²¹	940:3, 885:2	classifier [length unit] / classifier [weight unit]
100-1	t	1	³	³¹	⁵⁵	⁵⁵	⁴²	⁵⁵	³¹	²¹	²¹	³¹	21:3	(head) ache
189-1	t	1	³	³¹	⁴²	⁴²	⁴²	⁴²	³¹	²¹	²¹	³¹	1348:2	earth
222-1	t	1	³	²¹	⁴²	⁴³	⁴²	⁴²	³¹	²¹	²¹	⁴²	1805:2	give
272-1	t	1	³	⁴⁴	⁴²	⁴³	⁴²	⁴⁴	⁴⁴	²¹	²¹	⁴⁴	2342:3	leg
372-1	t	1	³	⁴²	⁴²	⁴³	⁴²	⁴²	³¹	³³	²¹	³¹	3525:3	salty
515-1	t	1	³	³³	⁴⁴	Ø	⁴²	⁴²	³¹	²¹	²¹	³³	545:3	bird's nest
554-1	t	1	³	³¹	⁴²	²⁴	Ø	⁵⁵	³¹	²¹	²¹	³¹	1693:3	fraud
622-1	t	1	³	²¹	⁴⁴	⁴³	⁴²	Ø	³¹	²¹	²¹	³¹	3712:4	shave (the head)
685-1	t	1	³	⁴²	⁴²	Ø	⁴²	⁴²	⁴⁴	⁴⁴	²¹	Ø	338:3	bad (things)
767-1	t	1	³	³¹	⁴²	Ø	Ø	⁴²	³¹	²¹	¹²¹	³¹	4357:2	thorn; splinter
768-1	t	1	³	³¹	Ø	⁴³	⁴²	Ø	³¹	²¹	²¹	²¹	4462:3	to be ill
217-1	t	1	²¹	³⁵	⁵⁵	²⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁵⁵	³⁵	1751:4	garden (plot)
1-52	t	52	²	³³	²²	²²	²²	²²	³³	³³	³³	³³	236:3, 668:3, 863:3, 1173:3, 1230:4, 1326:3, 1451:3, 1473:4, 1543:3, 1914:3, 2085:3, 2269:3, 2364:2, 2674:3, 2698:3, 2889:3, 2900:2, 2998:3, 3031:3, 3172:4, 3409:2, 3634:4, 3942:2, 4998:3, 5236:3, 1784:3, 1925:2, 1056:3, 4537:2, 1119:4, 1742:3, 1462:4, 3867:2, 1564:3, 3834:3, 1274:1, 4613:3, 1315:4, 1598:3, 2577:2, 4347:2, 4891:3, 5143:2, 5164:2, 1155:4, 1154:4, 5247:4, 2506:3, 3922:3, 4489:3, 1565:2, 3162:3	alcoholic beverage / brothers / classifier [grain] / copper, bronze / cut up (vegetable) / daughter / dead / die / dog / drink / ear; spike / early / excrement / eye / far / finger / fire / five / fully recover (from an illness) / ghost, spirit / hand / have (you) / horse / late / lick, lap / low; short / mare / mother / mouse / nine / old / paper / patch (clothing) / path; road / pillar / pillow / rice / seed / smoke / snake / soil; earth / son / think / to block (the wind) / to change / to owe (money) / use or lean on (a walking stick) / water / willow / winnowing fan / younger brother / younger sister
31-5	t	5	²	³³	²²	²²	³³	²²	³³	³³	³³	³³	316:2, 1936:2, 4315:4, 3161:2, 4069:3	axe / have eaten one's fill / pillar / stepmother / the upper part; up reaches; above
238-4	t	4	²	³³	²²	²²	²²	²²	³³	²¹	³³	³³	1991:3, 1286:3, 4473:2, 712:2	carry (shoulder) / drum / heavy / to bet
75-3	t	3	²	³³	²²	²²	²²	²²	³³	³³	³³	⁵⁵	1816:3, 2118:2, 4176:4	glutinous rice / hug / stretch out (the arm)
134-2	t	2	²	³³	²²	²²	²²	²²	³³	²²	³³	³¹	632:3, 4491:2	brains / to block (the wind)
