ID	STRUCTURE	FREQUENCY	ProtoBai	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	Tuoluo	Zhoucheng	COGNATESETS	CONCEPTS
12-13	t	13	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	512:2, 775:4, 1401:3, 2291:4, 2417:2, 3779:2, 4787:4, 4669:2, 1046:2, 4625:3, 132:2, 4166:3, 133:3	Han Chinese / big / change / cooking stove; kitchen range / egg / lay (eggs) / live; reside / saw / sit / straw or palm-bark rain cape / to pen in (sheep) / to saw / turn around
344-2	t	2	⁵	³¹	⁴²	⁴³	⁴²	⁴²	³¹	³¹	²¹	³¹	3052:3, 1361:2	earth quake / pea; bean
705-2	t	2	⁵	⁴²	⁴²	⁴³	⁵⁵	⁴²	⁴²	²¹	²¹	³¹	1695:1, 2911:2	fraud / old lady / one
106-1	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁵³	267:4	arrow
138-1	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	²¹	²¹	⁴²	689:2	buy
139-1	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁴²	⁴²	²¹	²¹	²¹	700:3	cane, vine
179-1	t	1	⁵	⁴²	⁵⁵	⁴³	²⁴	⁴²	³¹	²¹	²¹	⁵³	1263:3	dream
360-1	t	1	⁵	⁴²	⁴³	⁴³	⁴²	⁴²	⁴²	⁴²	²¹	⁴²	3274:2	price
437-1	t	1	⁵	⁴²	⁴²	²¹	⁴²	⁴²	⁴²	²¹	²¹	⁴²	4336:4	thief
461-1	t	1	⁵	⁴²	⁴²	⁴³	⁴²	⁵⁵	⁴²	⁴²	²¹	³³	4774:3	trip-hammer for hulling rice
480-1	t	1	⁵	⁴²	⁴²	⁴³	²⁴	⁴²	⁴²	⁴²	²⁴	⁴²	5037:4	wear (a hat)
636-1	t	1	⁵	⁴²	⁴²	⁴	⁴²	Ø	⁴²	³¹	²¹	⁴²	4452:4	tile
770-1	t	1	⁵	⁴²	⁴²	Ø	Ø	⁴²	³¹	³¹	²¹	³¹	4548:3	to comb
6-38	t	38	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	32:2, 463:2, 621:3, 1107:3, 1143:2, 1640:2, 1773:2, 1885:2, 2074:3, 2130:2, 3493:2, 3678:3, 216:3, 5122:3, 3251:2, 3263:2, 742:2, 2664:3, 3566:2, 82:3, 104:3, 979:2, 3421:3, 278:3, 1412:3, 3790:2, 4206:3, 4501:2, 1413:3, 1498:3, 1873:3, 2531:3, 3561:3, 4834:3, 184:2, 280:3, 3252:1, 4205:3	(people) crawl / (wasps) sting / (water) be boiling / [loach] / a year old / ask; question / be thirsty / black / blood / bone / catch; capture / cloth / cut (meat) / dark / eight / female genitals / foot / get; acquire / grind (flour) / guest / horn / hundred / lung / mosquito / press (with palm of finger) / press, push down / rice straw / rope / say / scale / seven / six / sun / to borrow (money) / twist (a tower) / wheat straw / wide
27-17	t	17	⁴	⁴²	⁴²	²¹	²¹	⁴²	⁴²	⁴²	⁴²	⁴²	1706:3, 3150:2, 4814:2, 5111:2, 645:2, 4056:2, 4081:3, 523:3, 2375:3, 3351:2, 4647:2, 200:3, 4571:3, 43:2, 1379:2, 3352:2, 4988:2	(rain) fall / [wood] / bind; tie up / breasts / easy / friend / lift (the lid) / pick up / pig / read / step on; tread / stick / ten / to drop / to poke; insert / twelve / want; need / white
13-6	t	6	⁴	³³	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	348:3, 2484:3, 2632:4, 2816:3, 3225:2, 3340:2	bamboo / bird / louse / month / narrow / plough; till / put on (the shoes)
39-5	t	5	⁴	⁴⁴	⁴⁴	⁵⁵	⁴²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	1390:2, 2316:3, 2611:2, 3373:3, 3885:3	eat / leech / medicine / red / snow
72-4	t	4	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁴⁴	1671:3, 2096:4, 2871:3, 171:2	[cow louse] / four / hot / next year
148-4	t	4	⁴	³³	⁴²	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	798:2, 2207:3, 2731:3, 524:1	bind; tie up / chisel / kettle; pot / muntjac; barking deer
81-3	t	3	⁴	⁴²	²¹	²¹	²¹	²¹	⁴²	⁴²	⁴²	⁴²	2245:3, 2720:4, 9:3	(fruit) be ripe / ladle / muddy; turbid
421-3	t	3	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁵⁵	4185:3, 3285:3, 2990:3	paint / pull (a quilt over oneself) / stroke; touch
532-3	t	3	⁴	⁴⁴	⁴⁴	⁵⁵	²⁴	⁵⁵	⁴⁴	⁵⁵	⁴²	⁴⁴	1097:2, 3009:2, 1497:3	curved; crooked; bent / female genitals / pare/peel with a knife
96-2	t	2	⁴	⁴²	⁴²	²¹	²¹	⁵⁵	⁴²	⁴²	Ø	⁴²	3128:2, 3601:2	pick up (food with chopstick) / scissor
116-2	t	2	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁵⁵	452:2, 3420:2	be on the other side of (a river) / rice straw
300-2	t	2	⁴	⁵⁵	⁴⁴	⁵⁵	⁵⁵	⁵⁵	⁵⁵	⁴⁴	⁴²	⁴⁴	2644:4, 4123:2	moon / stomach
313-2	t	2	⁴	⁴⁴	⁴⁴	²⁴	²⁴	⁴⁴	⁴⁴	⁴⁴	⁴²	⁴⁴	2772:2, 501:3	belly / nail
486-2	t	2	⁴	⁴⁴	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	5071:3, 4708:1	to water/sprinkle/irrigate / wheat
649-2	t	2	⁴	³³	⁵⁵	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴²	⁴⁴	4844:2, 5027:3	twist (hemp fivers) / wear (a bracelet)
683-2	t	2	⁴	⁴⁴	⁴⁴	⁵⁵	⁵⁵	⁴⁴	⁴⁴	⁴⁴	⁴²	⁵⁵	227:2, 423:2	air; breath / be hungry
738-2	t	2	⁴	Ø	⁴⁴	²¹	²¹	⁵⁵	⁴²	⁴²	⁴²	²¹	3297:3, 4433:3	pull up (weeds) / tie (a cow) to
744-2	t	2	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁴²	⁴⁴	³³	⁴²	³⁵	3477:2, 2578:3	mare / root
763-2	t	2	⁴	⁴⁴	⁵⁵	⁵⁵	¹²	⁵⁵	⁴⁴	⁴⁴	⁴²	⁵⁵	4196:3, 1305:3	eagle fern / suck
783-2	t	2	⁴	⁴⁴	²²	⁴³	²⁴	Ø	⁴⁴	⁴²	⁴²	⁴⁴	4952:2, 4646:3	to poke; insert / village
785-2	t	2	⁴	⁰	⁵⁵	⁵⁵	²⁴	⁵⁵	⁰	⁵⁵	⁴²	⁵⁵	5082:3, 725:1	cat / wheat straw
858-2	t	2	⁴	⁴⁴	²²	²¹	²²	⁴²	⁴⁴	⁵⁵	⁴²	⁴⁴	4987:4, 4124:2	stomach / want; need
110-1	t	1	⁴	⁴⁴	⁴²	⁵⁵	²⁴	⁵⁵	⁴⁴	⁴⁴	⁴	⁵⁵	289:3	astringent; like unripe
