# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	STRUCTURE
#
21	1521_birdscrychirp	(birds)cry/chirp	ProtoBai	Proto-Bai	mæ1b	mæ1b	m æ 1b/¹						i n t
22	1521_birdscrychirp	(birds)cry/chirp	Tuoluo	Tuoluo	ma35	ma35	m a ³⁵	tuol1234		23.3833337	102.1839821		i n t
23	1521_birdscrychirp	(birds)cry/chirp	Gongxing	Gongxing	mæ12	mæ12	m æ ¹²			27.0852794	99.1652452		i n t
24	1521_birdscrychirp	(birds)cry/chirp	Enqi	Enqi	mæ21	mæ21	m æ ²¹	enqi1234		26.4738155	99.1189832		i n t
25	1521_birdscrychirp	(birds)cry/chirp	Jinxing	Jinxing	man21	man21	m a n ²¹			24.9259218	103.1237482		i n c t
26	1521_birdscrychirp	(birds)cry/chirp	Dashi	Dashi	mɚ21	mɚ21	m ɚ/ə ²¹			26.3530106	100.1930442		i n t
27	1521_birdscrychirp	(birds)cry/chirp	Mazhelong	Mazhelong	mɚ̃21	mɚ̃21	m ɚ/ə̃ ²¹			24.1677209	104.1950232		i n t
#
28	1638_fruitberipe	(fruit) be ripe	ProtoBai	Proto-Bai	dzro4	dzro4	ɖʐ o ⁴		178				i n t
29	1638_fruitberipe	(fruit) be ripe	Tuoluo	Tuoluo	ʐy42	ʐy42	ʐ y ⁴²	tuol1234	178	23.3833337	102.1839821		i n t
30	1638_fruitberipe	(fruit) be ripe	Gongxing	Gongxing	dzao21	dzao21	dz ao ²¹		178	27.0852794	99.1652452		i n t
31	1638_fruitberipe	(fruit) be ripe	Enqi	Enqi	tɕio21	tɕio21	tɕ i/j o ²¹	enqi1234	178	26.4738155	99.1189832		i m n t
32	1638_fruitberipe	(fruit) be ripe	Ega	Ega	tɕiu21	tɕiu21	tɕ i u ²¹	egab1234	178	26.4858945	98.8528962		i m n t
33	1638_fruitberipe	(fruit) be ripe	Jinman	Jinman	tɕio21	tɕio21	tɕ i/j o ²¹	nuji1238	178	26.4154856	99.1285952		i m n t
34	1638_fruitberipe	(fruit) be ripe	Jinxing	Jinxing	(tsṽ42tʰǝ31)	tsṽ42tʰǝ31	ts ṽ/ʯ̃ ⁴² + tʰ ə ³¹		178	24.9259218	103.1237482		i n t + i n t
35	1638_fruitberipe	(fruit) be ripe	Dashi	Dashi	(tʰiɯ42xa55)	tʰiɯ42xa55	tʰ i/j ɯ ⁴² + x a ⁵⁵		178	26.3530106	100.1930442		i m n t + i n t
36	1638_fruitberipe	(fruit) be ripe	Mazhelong	Mazhelong	tsʰu42	tsʰu42	tsʰ u ⁴²		178	24.1677209	104.1950232		i n t
#
37	1666_headache	(head) ache	ProtoBai	Proto-Bai	suŋ3	suŋ3	s u ŋ ³		1815				i n c t
38	1666_headache	(head) ache	Tuoluo	Tuoluo	svŋ21	svŋ21	s v/ʯ ŋ ²¹	tuol1234	1815	23.3833337	102.1839821		i n c t
39	1666_headache	(head) ache	Gongxing	Gongxing	saŋ42	saŋ42	s a ŋ ⁴²		1815	27.0852794	99.1652452		i n c t
40	1666_headache	(head) ache	Enqi	Enqi	(tsa55)	tsa55	ts a ⁵⁵	enqi1234	1815	26.4738155	99.1189832		i n t
41	1666_headache	(head) ache	Ega	Ega	(tso55)	tso55	ts o ⁵⁵	egab1234	1815	26.4858945	98.8528962		i n t
42	1666_headache	(head) ache	Jinman	Jinman	(tsa55)	tsa55	ts a ⁵⁵	nuji1238	1815	26.4154856	99.1285952		i n t
43	1666_headache	(head) ache	Jinxing	Jinxing	svŋ31	svŋ31	s v/ʯ ŋ ³¹		1815	24.9259218	103.1237482		i n c t
44	1666_headache	(head) ache	Dashi	Dashi	soŋ31	soŋ31	s o ŋ ³¹		1815	26.3530106	100.1930442		i n c t
45	1666_headache	(head) ache	Zhoucheng	Zhoucheng	(si31)	si31	s i ³¹	zhou1234	1815	25.8958826	100.0988062		i n t
46	1666_headache	(head) ache	Mazhelong	Mazhelong	soŋ21	soŋ21	s o ŋ ²¹		1815	24.1677209	104.1950232		i n c t
#
47	1536_peoplecrawl	(people) crawl	ProtoBai	Proto-Bai	mæ4	mæ4	m æ ⁴		96				i n t
48	1536_peoplecrawl	(people) crawl	Tuoluo	Tuoluo	ma42	ma42	m a ⁴²	tuol1234	96	23.3833337	102.1839821		i n t
49	1536_peoplecrawl	(people) crawl	Gongxing	Gongxing	mæ24	mæ24	m æ ²⁴		96	27.0852794	99.1652452		i n t
50	1536_peoplecrawl	(people) crawl	Enqi	Enqi	mæ55	mæ55	m æ ⁵⁵	enqi1234	96	26.4738155	99.1189832		i n t
51	1536_peoplecrawl	(people) crawl	Ega	Ega	ma44	ma44	m a ⁴⁴	egab1234	96	26.4858945	98.8528962		i n t
52	1536_peoplecrawl	(people) crawl	Jinman	Jinman	ma55	ma55	m a ⁵⁵	nuji1238	96	26.4154856	99.1285952		i n t
53	1536_peoplecrawl	(people) crawl	Jinxing	Jinxing	ma44	ma44	m a ⁴⁴		96	24.9259218	103.1237482		i n t
54	1536_peoplecrawl	(people) crawl	Dashi	Dashi	mɚ44	mɚ44	m ɚ/ə ⁴⁴		96	26.3530106	100.1930442		i n t
55	1536_peoplecrawl	(people) crawl	Zhoucheng	Zhoucheng	mɛ44	mɛ44	m ɛ ⁴⁴	zhou1234	96	25.8958826	100.0988062		i n t
56	1536_peoplecrawl	(people) crawl	Mazhelong	Mazhelong	mɚ44	mɚ44	m ɚ/ə ⁴⁴		96	24.1677209	104.1950232		i n t
#
57	1719_rainfall	(rain) fall	ProtoBai	Proto-Bai	ɣu4	ɣu4	ɣ u ⁴		2234				i n t
58	1719_rainfall	(rain) fall	Tuoluo	Tuoluo	(ʐi33)luo42	luo42	l u/w o ⁴²	tuol1234	2234	23.3833337	102.1839821		i m n t
59	1719_rainfall	(rain) fall	Enqi	Enqi	u21	u21	u ²¹	enqi1234	2234	26.4738155	99.1189832		n t
60	1719_rainfall	(rain) fall	Ega	Ega	u42	u42	u ⁴²	egab1234	2234	26.4858945	98.8528962		n t
61	1719_rainfall	(rain) fall	Jinman	Jinman	u42	u42	u ⁴²	nuji1238	2234	26.4154856	99.1285952		n t
62	1719_rainfall	(rain) fall	Jinxing	Jinxing	ɣou42	ɣou42	ɣ ou ⁴²		2234	24.9259218	103.1237482		i n t
63	1719_rainfall	(rain) fall	Dashi	Dashi	ɣou42	ɣou42	ɣ ou ⁴²		2234	26.3530106	100.1930442		i n t
64	1719_rainfall	(rain) fall	Zhoucheng	Zhoucheng	ou42(vu33ɕi44)	ou42	ou ⁴²	zhou1234	2234	25.8958826	100.0988062		n t
65	1719_rainfall	(rain) fall	Mazhelong	Mazhelong	ɣo42	ɣo42	ɣ o ⁴²		2234	24.1677209	104.1950232		i n t
#
66	406_riceseedling	(rice) seedling	ProtoBai	Proto-Bai	dzri1	dzri1	ɖʐ i ¹		3050				i n t
67	406_riceseedling	(rice) seedling	Tuoluo	Tuoluo	ʐɚ35	ʐɚ35	ʐ ɚ/ə ³⁵	tuol1234	3050	23.3833337	102.1839821		i n t
68	406_riceseedling	(rice) seedling	Gongxing	Gongxing	dʐi21	dʐi21	ɖʐ i ²¹		3050	27.0852794	99.1652452		i n t
69	406_riceseedling	(rice) seedling	Enqi	Enqi	tsɿ21	tsɿ21	ts ɿ ²¹	enqi1234	3050	26.4738155	99.1189832		i n t
70	406_riceseedling	(rice) seedling	Ega	Ega	tsɛ21	tsɛ21	ts ɛ ²¹	egab1234	3050	26.4858945	98.8528962		i n t
71	406_riceseedling	(rice) seedling	Jinman	Jinman	tɕɚ21	tɕɚ21	tɕ ɚ/ə ²¹	nuji1238	3050	26.4154856	99.1285952		i n t
72	406_riceseedling	(rice) seedling	Jinxing	Jinxing	tsa21	tsa21	ts a ²¹		3050	24.9259218	103.1237482		i n t
73	406_riceseedling	(rice) seedling	Dashi	Dashi	tʂi31	tʂi31	ʈʂ i ³¹		3050	26.3530106	100.1930442		i n t
74	406_riceseedling	(rice) seedling	Zhoucheng	Zhoucheng	tsi21	tsi21	ts i ²¹	zhou1234	3050	25.8958826	100.0988062		i n t
75	406_riceseedling	(rice) seedling	Mazhelong	Mazhelong	dzi21	dzi21	dz i ²¹		3050	24.1677209	104.1950232		i n t
#
76	673_soulspirit	(soul); spirit	ProtoBai	Proto-Bai	pʰæn3	pʰæn3	pʰ æ n ³		53				i n c t
77	673_soulspirit	(soul); spirit	Tuoluo	Tuoluo	pʰaŋ21maŋ21	pʰaŋ21maŋ21	pʰ a ŋ ²¹ + m a ŋ ²¹	tuol1234	53	23.3833337	102.1839821		i n c t + i n c t
78	673_soulspirit	(soul); spirit	Gongxing	Gongxing	pʰan42man22	pʰan42man22	pʰ a n ⁴² + m a n ²²		53	27.0852794	99.1652452		i n c t + i n c t
79	673_soulspirit	(soul); spirit	Enqi	Enqi	pʰæ43ma43	pʰæ43ma43	pʰ æ ⁴³ + m a ⁴³	enqi1234	53	26.4738155	99.1189832		i n t + i n t
80	673_soulspirit	(soul); spirit	Ega	Ega	pʰ42ma42	pʰ42ma42	pʰ */ə ⁴² + m a ⁴²	egab1234	53	26.4858945	98.8528962		i n t + i n t
81	673_soulspirit	(soul); spirit	Jinman	Jinman	pʰã42mã42	pʰã42mã42	pʰ ã ⁴² + m ã ⁴²	nuji1238	53	26.4154856	99.1285952		i n t + i n t
82	673_soulspirit	(soul); spirit	Jinxing	Jinxing	pʰan31man31	pʰan31man31	pʰ a n ³¹ + m a n ³¹		53	24.9259218	103.1237482		i n c t + i n c t
83	673_soulspirit	(soul); spirit	Zhoucheng	Zhoucheng	pʰo31miɛ31	pʰo31miɛ31	pʰ o ³¹ + m i/j ɛ ³¹	zhou1234	53	25.8958826	100.0988062		i n t + i m n t
84	673_soulspirit	(soul); spirit	Mazhelong	Mazhelong	pʰɚ21mɚ̃21	pʰɚ21mɚ̃21	pʰ ɚ/ə ²¹ + m ɚ/ə̃ ²¹		53	24.1677209	104.1950232		i n t + i n t
#
85	1793_waspssting	(wasps) sting	ProtoBai	Proto-Bai	tʰro4	tʰro4	tʰ r o ⁴		571				i m n t
86	1793_waspssting	(wasps) sting	Tuoluo	Tuoluo	tʰiu42	tʰiu42	tʰ i u ⁴²	tuol1234	571	23.3833337	102.1839821		i m n t
87	1793_waspssting	(wasps) sting	Gongxing	Gongxing	ŋaŋ24	ŋaŋ24	ŋ a ŋ ²⁴		571	27.0852794	99.1652452		i n c t
88	1793_waspssting	(wasps) sting	Enqi	Enqi	tʰiu55	tʰiu55	tʰ i u ⁵⁵	enqi1234	571	26.4738155	99.1189832		i m n t
89	1793_waspssting	(wasps) sting	Ega	Ega	tɕʰio44	tɕʰio44	tɕʰ i/j o ⁴⁴	egab1234	571	26.4858945	98.8528962		i m n t
90	1793_waspssting	(wasps) sting	Jinman	Jinman	ʈʰo55	ʈʰo55	ʈʰ o ⁵⁵	nuji1238	571	26.4154856	99.1285952		i n t
91	1793_waspssting	(wasps) sting	Jinxing	Jinxing	tsʰou44	tsʰou44	tsʰ ou ⁴⁴		571	24.9259218	103.1237482		i n t
92	1793_waspssting	(wasps) sting	Dashi	Dashi	tʂʰou44	tʂʰou44	ʈʂʰ ou ⁴⁴		571	26.3530106	100.1930442		i n t
93	1793_waspssting	(wasps) sting	Zhoucheng	Zhoucheng	ŋa44	ŋa44	ŋ a ⁴⁴	zhou1234	571	25.8958826	100.0988062		i n t
94	1793_waspssting	(wasps) sting	Mazhelong	Mazhelong	tsʰo44	tsʰo44	tsʰ o ⁴⁴		571	24.1677209	104.1950232		i n t
#
95	1502_waterflow	(water flow)	ProtoBai	Proto-Bai	gɯ1	gɯ1	g ɯ ¹						i n t
96	1502_waterflow	(water flow)	Tuoluo	Tuoluo	gɯ35	gɯ35	g ɯ ³⁵	tuol1234		23.3833337	102.1839821		i n t
97	1502_waterflow	(water flow)	Gongxing	Gongxing	gɯ12	gɯ12	g ɯ ¹²			27.0852794	99.1652452		i n t
98	1502_waterflow	(water flow)	Enqi	Enqi	kɯ21	kɯ21	k ɯ ²¹	enqi1234		26.4738155	99.1189832		i n t
99	1502_waterflow	(water flow)	Ega	Ega	kɯ21	kɯ21	k ɯ ²¹	egab1234		26.4858945	98.8528962		i n t
100	1502_waterflow	(water flow)	Jinman	Jinman	kɯ21	kɯ21	k ɯ ²¹	nuji1238		26.4154856	99.1285952		i n t
101	1502_waterflow	(water flow)	Jinxing	Jinxing	kɯ21	kɯ21	k ɯ ²¹			24.9259218	103.1237482		i n t
102	1502_waterflow	(water flow)	Dashi	Dashi	kɯ21	kɯ21	k ɯ ²¹			26.3530106	100.1930442		i n t
103	1502_waterflow	(water flow)	Zhoucheng	Zhoucheng	kɯ21	kɯ21	k ɯ ²¹	zhou1234		25.8958826	100.0988062		i n t
104	1502_waterflow	(water flow)	Mazhelong	Mazhelong	kɯ21	kɯ21	k ɯ ²¹			24.1677209	104.1950232		i n t
#
105	1462_waterbeboiling	(water) be boiling	ProtoBai	Proto-Bai	hua4	hua4	h u/w a ⁴		792				i m n t
106	1462_waterbeboiling	(water) be boiling	Tuoluo	Tuoluo	huɔ42	huɔ42	h u/w ɔ ⁴²	tuol1234	792	23.3833337	102.1839821		i m n t
107	1462_waterbeboiling	(water) be boiling	Gongxing	Gongxing	xua24	xua24	x u/w a ²⁴		792	27.0852794	99.1652452		i m n t
108	1462_waterbeboiling	(water) be boiling	Enqi	Enqi	χua55	χua55	χ u/w a ⁵⁵	enqi1234	792	26.4738155	99.1189832		i m n t
109	1462_waterbeboiling	(water) be boiling	Ega	Ega	xua44	xua44	x u/w a ⁴⁴	egab1234	792	26.4858945	98.8528962		i m n t
