# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	STRUCTURE
110	1462_waterbeboiling	(water) be boiling	Jinman	Jinman	xua55	xua55	x u/w a ⁵⁵	nuji1238	792	26.4154856	99.1285952		i m n t
111	1462_waterbeboiling	(water) be boiling	Jinxing	Jinxing	xuɑ44	xuɑ44	x u ɑ ⁴⁴		792	24.9259218	103.1237482		i m n t
112	1462_waterbeboiling	(water) be boiling	Zhoucheng	Zhoucheng	xua44	xua44	x u/w a ⁴⁴	zhou1234	792	25.8958826	100.0988062		i m n t
113	1462_waterbeboiling	(water) be boiling	Mazhelong	Mazhelong	xua44	xua44	x u/w a ⁴⁴		792	24.1677209	104.1950232		i m n t
#
114	2124_xxlanguage	(xx language) 	ProtoBai	Proto-Bai	ŋo3	ŋo3	ŋ o ³		1307				i n t
115	2124_xxlanguage	(xx language) 	Gongxing	Gongxing	ŋo42	ŋo42	ŋ o ⁴²		1307	27.0852794	99.1652452		i n t
116	2124_xxlanguage	(xx language) 	Enqi	Enqi	ŋo43	ŋo43	ŋ o ⁴³	enqi1234	1307	26.4738155	99.1189832		i n t
117	2124_xxlanguage	(xx language) 	Mazhelong	Mazhelong	oŋ21	oŋ21	o ŋ ²¹		1307	24.1677209	104.1950232		n c t
#
118	397_chinesechestnut	Chinese chestnut	ProtoBai	Proto-Bai	tsʰji1	tsʰji1	tsʰ j i ¹						i m n t
119	397_chinesechestnut	Chinese chestnut	Tuoluo	Tuoluo	tɕʰi55(ji42)	tɕʰi55	tɕʰ i ⁵⁵	tuol1234		23.3833337	102.1839821		i n t
120	397_chinesechestnut	Chinese chestnut	Gongxing	Gongxing	tɕʰi55(ʑi21	tɕʰi55	tɕʰ i ⁵⁵			27.0852794	99.1652452		i n t
121	397_chinesechestnut	Chinese chestnut	Enqi	Enqi	tsʰi55(jɯ21)	tsʰi55	tsʰ i ⁵⁵	enqi1234		26.4738155	99.1189832		i n t
122	397_chinesechestnut	Chinese chestnut	Ega	Ega	(ɕu22)tsʰi55(ji21lɛ21)	ɕu22)tsʰi55	ɕ u ²² + tsʰ i ⁵⁵	egab1234		26.4858945	98.8528962		i n t + i n t
123	397_chinesechestnut	Chinese chestnut	Jinman	Jinman	(xa55ne221)	xa55ne221	x a ⁵⁵ + n e ²²¹	nuji1238		26.4154856	99.1285952		i n t + i n t
124	397_chinesechestnut	Chinese chestnut	Jinxing	Jinxing	tɕʰi55(ji31)	tɕʰi55	tɕʰ i ⁵⁵			24.9259218	103.1237482		i n t
125	397_chinesechestnut	Chinese chestnut	Dashi	Dashi	tɕʰ(li44)	tɕʰ	tɕʰ */ə ⁰			26.3530106	100.1930442		i n t
126	397_chinesechestnut	Chinese chestnut	Mazhelong	Mazhelong	(to21ju21)	to21ju21	t o ²¹ + j u ²¹			24.1677209	104.1950232		i n t + m n t
#
127	165_hanchinese	Han Chinese	ProtoBai	Proto-Bai	haŋ5	haŋ5	h a ŋ ⁵		3373				i n c t
128	165_hanchinese	Han Chinese	Tuoluo	Tuoluo	haŋ21	haŋ21	h a ŋ ²¹	tuol1234	3373	23.3833337	102.1839821		i n c t
129	165_hanchinese	Han Chinese	Gongxing	Gongxing	haŋ42	haŋ42	h a ŋ ⁴²		3373	27.0852794	99.1652452		i n c t
130	165_hanchinese	Han Chinese	Enqi	Enqi	χa43	χa43	χ a ⁴³	enqi1234	3373	26.4738155	99.1189832		i n t
131	165_hanchinese	Han Chinese	Ega	Ega	xa42	xa42	x a ⁴²	egab1234	3373	26.4858945	98.8528962		i n t
132	165_hanchinese	Han Chinese	Jinman	Jinman	xa42	xa42	x a ⁴²	nuji1238	3373	26.4154856	99.1285952		i n t
133	165_hanchinese	Han Chinese	Jinxing	Jinxing	xɑ̃42	xɑ̃42	x ɑ̃ ⁴²		3373	24.9259218	103.1237482		i n t
134	165_hanchinese	Han Chinese	Dashi	Dashi	xã42	xã42	x ã ⁴²		3373	26.3530106	100.1930442		i n t
#
135	928_i	I	ProtoBai	Proto-Bai	C-ŋɔ3	C-ŋɔ3	ŋ ɔ ³		1209				i n t
136	928_i	I	Tuoluo	Tuoluo	ŋɔ21	ŋɔ21	ŋ ɔ ²¹	tuol1234	1209	23.3833337	102.1839821		i n t
137	928_i	I	Gongxing	Gongxing	ŋa42	ŋa42	ŋ a ⁴²		1209	27.0852794	99.1652452		i n t
138	928_i	I	Enqi	Enqi	ɴo43	ɴo43	ɴ o ⁴³	enqi1234	1209	26.4738155	99.1189832		i n t
139	928_i	I	Ega	Ega	ŋo42	ŋo42	ŋ o ⁴²	egab1234	1209	26.4858945	98.8528962		i n t
140	928_i	I	Jinman	Jinman	õ42	õ42	õ ⁴²	nuji1238	1209	26.4154856	99.1285952		n t
141	928_i	I	Jinxing	Jinxing	uõ31	uõ31	u/w õ ³¹		1209	24.9259218	103.1237482		i n t
142	928_i	I	Dashi	Dashi	ŋõ31	ŋõ31	ŋ õ ³¹		1209	26.3530106	100.1930442		i n t
143	928_i	I	Zhoucheng	Zhoucheng	ŋo31	ŋo31	ŋ o ³¹	zhou1234	1209	25.8958826	100.0988062		i n t
144	928_i	I	Mazhelong	Mazhelong	nen42	nen42	n e n ⁴²		1209	24.1677209	104.1950232		i n c t
#
160	2075_distillersgrains	[Distillers grains]	ProtoBai	Proto-Bai	pʰa1	pʰa1	pʰ a ¹						i n t
161	2075_distillersgrains	[Distillers grains]	Gongxing	Gongxing	pʰa24	pʰa24	pʰ a ²⁴			27.0852794	99.1652452		i n t
162	2075_distillersgrains	[Distillers grains]	Enqi	Enqi	pʰa55	pʰa55	pʰ a ⁵⁵	enqi1234		26.4738155	99.1189832		i n t
163	2075_distillersgrains	[Distillers grains]	Ega	Ega	pʰa44	pʰa44	pʰ a ⁴⁴	egab1234		26.4858945	98.8528962		i n t
164	2075_distillersgrains	[Distillers grains]	Jinman	Jinman	(tsõ22qʰo22)	tsõ22qʰo22	ts õ ²² + qʰ o ²²	nuji1238		26.4154856	99.1285952		i n t + i n t
165	2075_distillersgrains	[Distillers grains]	Zhoucheng	Zhoucheng	pe35	pe35	p e ³⁵	zhou1234		25.8958826	100.0988062		i n t
166	2075_distillersgrains	[Distillers grains]	Mazhelong	Mazhelong	pɛ55	pɛ55	p ɛ ⁵⁵			24.1677209	104.1950232		i n t
#
145	1746_castratechicken	[castrate (chicken)]	ProtoBai	Proto-Bai	mjæ1	mjæ1	m j æ ¹						i m n t
146	1746_castratechicken	[castrate (chicken)]	Tuoluo	Tuoluo	juaŋ55 (Wang 2006 has juang55, probably a spelling error)	juaŋ55	ju/ɥ a ŋ ⁵⁵	tuol1234		23.3833337	102.1839821		m n c t
147	1746_castratechicken	[castrate (chicken)]	Gongxing	Gongxing	ɲyɛ55	ɲyɛ55	ɲ y/ɥ ɛ ⁵⁵			27.0852794	99.1652452		i m n t
148	1746_castratechicken	[castrate (chicken)]	Enqi	Enqi	mia24	mia24	m i/j a ²⁴	enqi1234		26.4738155	99.1189832		i m n t
149	1746_castratechicken	[castrate (chicken)]	Ega	Ega	ɲia44	ɲia44	ɲ i/j a ⁴⁴	egab1234		26.4858945	98.8528962		i m n t
150	1746_castratechicken	[castrate (chicken)]	Jinman	Jinman	ɲio55	ɲio55	ɲ i/j o ⁵⁵	nuji1238		26.4154856	99.1285952		i m n t
151	1746_castratechicken	[castrate (chicken)]	Jinxing	Jinxing	mian55	mian55	m i/j a n ⁵⁵			24.9259218	103.1237482		i m n c t
152	1746_castratechicken	[castrate (chicken)]	Dashi	Dashi	mier35 (this is strange: should it be "miɚ35"?)	mier35	m i/j er/e ³⁵			26.3530106	100.1930442		i m n t
#
153	2073_cowlouse	[cow louse]	ProtoBai	Proto-Bai	pe1	pe1	p e ¹						i n t
154	2073_cowlouse	[cow louse]	Gongxing	Gongxing	(ŋɯ21ɕi24)	ŋɯ21ɕi24	ŋ ɯ ²¹ + ɕ i ²⁴			27.0852794	99.1652452		i n t + i n t
155	2073_cowlouse	[cow louse]	Enqi	Enqi	pi24	pi24	p i ²⁴	enqi1234		26.4738155	99.1189832		i n t
156	2073_cowlouse	[cow louse]	Ega	Ega	(ŋɯ21ɕi44)	ŋɯ21ɕi44	ŋ ɯ ²¹ + ɕ i ⁴⁴	egab1234		26.4858945	98.8528962		i n t + i n t
157	2073_cowlouse	[cow louse]	Jinman	Jinman	(ɯ̃21ɕi44)	ɯ̃21ɕi44	ɯ̃ ²¹ + ɕ i ⁴⁴	nuji1238		26.4154856	99.1285952		n t + i n t
158	2073_cowlouse	[cow louse]	Zhoucheng	Zhoucheng	pe35	pe35	p e ³⁵	zhou1234		25.8958826	100.0988062		i n t
159	2073_cowlouse	[cow louse]	Mazhelong	Mazhelong	pɛ55	pɛ55	p ɛ ⁵⁵			24.1677209	104.1950232		i n t
#
167	1823_loach	[loach]	ProtoBai	Proto-Bai	ʔo4	ʔo4	ʔ o ⁴						i n t
168	1823_loach	[loach]	Gongxing	Gongxing	ao24	ao24	ao ²⁴			27.0852794	99.1652452		n t
169	1823_loach	[loach]	Enqi	Enqi	ʔo55	ʔo55	ʔ o ⁵⁵	enqi1234		26.4738155	99.1189832		i n t
170	1823_loach	[loach]	Ega	Ega	(ŋu55tsi22)	ŋu55tsi22	ŋ u ⁵⁵ + ts i ²²	egab1234		26.4858945	98.8528962		i n t + i n t
171	1823_loach	[loach]	Jinxing	Jinxing	ʔv44	ʔv44	ʔ v/ʯ ⁴⁴			24.9259218	103.1237482		i n t
172	1823_loach	[loach]	Dashi	Dashi	o55	o55	o ⁵⁵			26.3530106	100.1930442		n t
173	1823_loach	[loach]	Zhoucheng	Zhoucheng	v55	v55	v/ʯ ⁵⁵	zhou1234		25.8958826	100.0988062		n t
174	1823_loach	[loach]	Mazhelong	Mazhelong	(tɕa21oŋ55)	tɕa21oŋ55	tɕ a ²¹ + o ŋ ⁵⁵			24.1677209	104.1950232		i n t + n c t
#
175	2121_pullupweeds	[pull up weeds]	ProtoBai	Proto-Bai	qʰu1	qʰu1	qʰ u ¹						i n t
176	2121_pullupweeds	[pull up weeds]	Gongxing	Gongxing	qʰu55	qʰu55	qʰ u ⁵⁵			27.0852794	99.1652452		i n t
177	2121_pullupweeds	[pull up weeds]	Enqi	Enqi	qʰu24	qʰu24	qʰ u ²⁴	enqi1234		26.4738155	99.1189832		i n t
178	2121_pullupweeds	[pull up weeds]	Ega	Ega	qʰu24	qʰu24	qʰ u ²⁴	egab1234		26.4858945	98.8528962		i n t
179	2121_pullupweeds	[pull up weeds]	Jinman	Jinman	qʰu55	qʰu55	qʰ u ⁵⁵	nuji1238		26.4154856	99.1285952		i n t
180	2121_pullupweeds	[pull up weeds]	Zhoucheng	Zhoucheng	kʰu55	kʰu55	kʰ u ⁵⁵	zhou1234		25.8958826	100.0988062		i n t
181	2121_pullupweeds	[pull up weeds]	Mazhelong	Mazhelong	kʰo55	kʰo55	kʰ o ⁵⁵			24.1677209	104.1950232		i n t
#
182	511_wood	[wood]	ProtoBai	Proto-Bai	ɢua4	ɢua4	ɣ u/w a ⁴						i m n t
183	511_wood	[wood]	Tuoluo	Tuoluo	guo42	guo42	g u/w o ⁴²	tuol1234		23.3833337	102.1839821		i m n t
184	511_wood	[wood]	Gongxing	Gongxing	ɢua21	ɢua21	ɣ u/w a ²¹			27.0852794	99.1652452		i m n t
185	511_wood	[wood]	Enqi	Enqi	qua21	qua21	q u/w a ²¹	enqi1234		26.4738155	99.1189832		i m n t
186	511_wood	[wood]	Jinxing	Jinxing	kuɑ42	kuɑ42	k u ɑ ⁴²			24.9259218	103.1237482		i m n t
187	511_wood	[wood]	Dashi	Dashi	kua42	kua42	k u/w a ⁴²			26.3530106	100.1930442		i m n t
#
188	832_ahalf	a half	ProtoBai	Proto-Bai	pjo2	pjo2	p j o ²		816				i m n t
189	832_ahalf	a half	Tuoluo	Tuoluo	fv33	fv33	f v/ʯ ³³	tuol1234	816	23.3833337	102.1839821		i n t
190	832_ahalf	a half	Gongxing	Gongxing	pfw22	pfw22	pf ɯ ²²		816	27.0852794	99.1652452		i n t
191	832_ahalf	a half	Enqi	Enqi	po22	po22	p o ²²	enqi1234	816	26.4738155	99.1189832		i n t
192	832_ahalf	a half	Ega	Ega	fe22	fe22	f e ²²	egab1234	816	26.4858945	98.8528962		i n t
193	832_ahalf	a half	Jinman	Jinman	fɚ22	fɚ22	f ɚ/ə ²²	nuji1238	816	26.4154856	99.1285952		i n t
194	832_ahalf	a half	Zhoucheng	Zhoucheng	po21	po21	p o ²¹	zhou1234	816	25.8958826	100.0988062		i n t
195	832_ahalf	a half	Mazhelong	Mazhelong	po21	po21	p o ²¹		816	24.1677209	104.1950232		i n t
#
196	914_ayearold	a year old	ProtoBai	Proto-Bai	sʰua4	sʰua4	sʰ u/w a ⁴						i m n t
197	914_ayearold	a year old	Tuoluo	Tuoluo	suɔ42	suɔ42	s u/w ɔ ⁴²	tuol1234		23.3833337	102.1839821		i m n t
198	914_ayearold	a year old	Gongxing	Gongxing	sua24	sua24	s u/w a ²⁴			27.0852794	99.1652452		i m n t
199	914_ayearold	a year old	Enqi	Enqi	sua55	sua55	s u/w a ⁵⁵	enqi1234		26.4738155	99.1189832		i m n t
200	914_ayearold	a year old	Ega	Ega	sua44	sua44	s u/w a ⁴⁴	egab1234		26.4858945	98.8528962		i m n t
201	914_ayearold	a year old	Jinman	Jinman	sua55	sua55	s u/w a ⁵⁵	nuji1238		26.4154856	99.1285952		i m n t
202	914_ayearold	a year old	Jinxing	Jinxing	suɑ44	suɑ44	s u ɑ ⁴⁴			24.9259218	103.1237482		i m n t
203	914_ayearold	a year old	Dashi	Dashi	sʰua44	sʰua44	sʰ u/w a ⁴⁴			26.3530106	100.1930442		i m n t
204	914_ayearold	a year old	Zhoucheng	Zhoucheng	sua44	sua44	s u/w a ⁴⁴	zhou1234		25.8958826	100.0988062		i m n t
