ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	COGID
21	ProtoBai	(birds)cry/chirp	mæ1b	mæ1b	m æ 1b/¹	1	i n t	m æ - 1b/¹	1	1
22	Tuoluo	(birds)cry/chirp	ma35	ma35	m a ³⁵	1	i n t	m a - ³⁵	1	1
23	Gongxing	(birds)cry/chirp	mæ12	mæ12	m æ ¹²	1	i n t	m æ - ¹²	1	1
24	Enqi	(birds)cry/chirp	mæ21	mæ21	m æ ²¹	1	i n t	m æ - ²¹	1	1
25	Jinxing	(birds)cry/chirp	man21	man21	m a n ²¹	1	i n c t	m a n ²¹	1	1
26	Dashi	(birds)cry/chirp	mɚ21	mɚ21	m ɚ/ə ²¹	1	i n t	m ɚ/ə - ²¹	1	1
27	Mazhelong	(birds)cry/chirp	mɚ̃21	mɚ̃21	m ɚ/ə̃ ²¹	1	i n t	m ɚ/ə̃ - ²¹	1	1
28	ProtoBai	(fruit) be ripe	dzro4	dzro4	ɖʐ o ⁴	9	i n t	ɖʐ - o ⁴	9	2
29	Tuoluo	(fruit) be ripe	ʐy42	ʐy42	ʐ y ⁴²	9	i n t	ʐ - y ⁴²	9	2
30	Gongxing	(fruit) be ripe	dzao21	dzao21	dz ao ²¹	9	i n t	dz - ao ²¹	9	2
31	Enqi	(fruit) be ripe	tɕio21	tɕio21	tɕ i/j o ²¹	9	i m n t	tɕ i/j o ²¹	9	2
32	Ega	(fruit) be ripe	tɕiu21	tɕiu21	tɕ i u ²¹	9	i m n t	tɕ i u ²¹	9	2
33	Jinman	(fruit) be ripe	tɕio21	tɕio21	tɕ i/j o ²¹	9	i m n t	tɕ i/j o ²¹	9	2
34	Jinxing	(fruit) be ripe	(tsṽ42tʰǝ31)	tsṽ42tʰǝ31	ts ṽ/ʯ̃ ⁴² + tʰ ə ³¹	9 11	i n t + i n t	ts - ṽ/ʯ̃ ⁴² + tʰ ə ³¹	9 11	2
35	Dashi	(fruit) be ripe	(tʰiɯ42xa55)	tʰiɯ42xa55	tʰ i/j ɯ ⁴² + x a ⁵⁵	9 10	i m n t + i n t	tʰ i/j ɯ ⁴² + x a ⁵⁵	9 10	2
36	Mazhelong	(fruit) be ripe	tsʰu42	tsʰu42	tsʰ u ⁴²	9	i n t	tsʰ - u ⁴²	9	2
37	ProtoBai	(head) ache	suŋ3	suŋ3	s u ŋ ³	21	i n c t	s u ŋ ³	21	3
38	Tuoluo	(head) ache	svŋ21	svŋ21	s v/ʯ ŋ ²¹	21	i n c t	s v/ʯ ŋ ²¹	21	3
39	Gongxing	(head) ache	saŋ42	saŋ42	s a ŋ ⁴²	21	i n c t	s a ŋ ⁴²	21	3
40	Enqi	(head) ache	(tsa55)	tsa55	ts a ⁵⁵	21	i n t	ts a - ⁵⁵	21	3
41	Ega	(head) ache	(tso55)	tso55	ts o ⁵⁵	21	i n t	ts o - ⁵⁵	21	3
42	Jinman	(head) ache	(tsa55)	tsa55	ts a ⁵⁵	21	i n t	ts a - ⁵⁵	21	3
43	Jinxing	(head) ache	svŋ31	svŋ31	s v/ʯ ŋ ³¹	21	i n c t	s v/ʯ ŋ ³¹	21	3
44	Dashi	(head) ache	soŋ31	soŋ31	s o ŋ ³¹	21	i n c t	s o ŋ ³¹	21	3
45	Zhoucheng	(head) ache	(si31)	si31	s i ³¹	21	i n t	s i - ³¹	21	3
46	Mazhelong	(head) ache	soŋ21	soŋ21	s o ŋ ²¹	21	i n c t	s o ŋ ²¹	21	3
47	ProtoBai	(people) crawl	mæ4	mæ4	m æ ⁴	32	i n t	m æ ⁴	32	4
48	Tuoluo	(people) crawl	ma42	ma42	m a ⁴²	32	i n t	m a ⁴²	32	4
49	Gongxing	(people) crawl	mæ24	mæ24	m æ ²⁴	32	i n t	m æ ²⁴	32	4
50	Enqi	(people) crawl	mæ55	mæ55	m æ ⁵⁵	32	i n t	m æ ⁵⁵	32	4
51	Ega	(people) crawl	ma44	ma44	m a ⁴⁴	32	i n t	m a ⁴⁴	32	4
52	Jinman	(people) crawl	ma55	ma55	m a ⁵⁵	32	i n t	m a ⁵⁵	32	4
53	Jinxing	(people) crawl	ma44	ma44	m a ⁴⁴	32	i n t	m a ⁴⁴	32	4
54	Dashi	(people) crawl	mɚ44	mɚ44	m ɚ/ə ⁴⁴	32	i n t	m ɚ/ə ⁴⁴	32	4
55	Zhoucheng	(people) crawl	mɛ44	mɛ44	m ɛ ⁴⁴	32	i n t	m ɛ ⁴⁴	32	4
56	Mazhelong	(people) crawl	mɚ44	mɚ44	m ɚ/ə ⁴⁴	32	i n t	m ɚ/ə ⁴⁴	32	4
57	ProtoBai	(rain) fall	ɣu4	ɣu4	ɣ u ⁴	43	i n t	ɣ u ⁴	43	5
58	Tuoluo	(rain) fall	(ʐi33)luo42	luo42	l u/w o ⁴²	45	i m n t	l u/w o ⁴²	45	7
59	Enqi	(rain) fall	u21	u21	u ²¹	44	n t	u ²¹	44	6
60	Ega	(rain) fall	u42	u42	u ⁴²	44	n t	u ⁴²	44	6
61	Jinman	(rain) fall	u42	u42	u ⁴²	44	n t	u ⁴²	44	6
62	Jinxing	(rain) fall	ɣou42	ɣou42	ɣ ou ⁴²	43	i n t	ɣ ou ⁴²	43	5
63	Dashi	(rain) fall	ɣou42	ɣou42	ɣ ou ⁴²	43	i n t	ɣ ou ⁴²	43	5
64	Zhoucheng	(rain) fall	ou42(vu33ɕi44)	ou42	ou ⁴²	44	n t	ou ⁴²	44	6
65	Mazhelong	(rain) fall	ɣo42	ɣo42	ɣ o ⁴²	43	i n t	ɣ o ⁴²	43	5
66	ProtoBai	(rice) seedling	dzri1	dzri1	ɖʐ i ¹	53	i n t	ɖʐ i ¹	53	8
67	Tuoluo	(rice) seedling	ʐɚ35	ʐɚ35	ʐ ɚ/ə ³⁵	53	i n t	ʐ ɚ/ə ³⁵	53	8
68	Gongxing	(rice) seedling	dʐi21	dʐi21	ɖʐ i ²¹	53	i n t	ɖʐ i ²¹	53	8
69	Enqi	(rice) seedling	tsɿ21	tsɿ21	ts ɿ ²¹	53	i n t	ts ɿ ²¹	53	8
70	Ega	(rice) seedling	tsɛ21	tsɛ21	ts ɛ ²¹	53	i n t	ts ɛ ²¹	53	8
71	Jinman	(rice) seedling	tɕɚ21	tɕɚ21	tɕ ɚ/ə ²¹	53	i n t	tɕ ɚ/ə ²¹	53	8
72	Jinxing	(rice) seedling	tsa21	tsa21	ts a ²¹	53	i n t	ts a ²¹	53	8
73	Dashi	(rice) seedling	tʂi31	tʂi31	ʈʂ i ³¹	53	i n t	ʈʂ i ³¹	53	8
74	Zhoucheng	(rice) seedling	tsi21	tsi21	ts i ²¹	53	i n t	ts i ²¹	53	8
75	Mazhelong	(rice) seedling	dzi21	dzi21	dz i ²¹	53	i n t	dz i ²¹	53	8
76	ProtoBai	(soul); spirit	pʰæn3	pʰæn3	pʰ æ n ³	64	i n c t	pʰ æ n ³	64	9
77	Tuoluo	(soul); spirit	pʰaŋ21maŋ21	pʰaŋ21maŋ21	pʰ a ŋ ²¹ + m a ŋ ²¹	64 65	i n c t + i n c t	pʰ a ŋ ²¹ + m - a ŋ ²¹	64 65	9
78	Gongxing	(soul); spirit	pʰan42man22	pʰan42man22	pʰ a n ⁴² + m a n ²²	64 65	i n c t + i n c t	pʰ a n ⁴² + m - a n ²²	64 65	9
79	Enqi	(soul); spirit	pʰæ43ma43	pʰæ43ma43	pʰ æ ⁴³ + m a ⁴³	64 65	i n t + i n t	pʰ æ - ⁴³ + m - a - ⁴³	64 65	9
80	Ega	(soul); spirit	pʰ42ma42	pʰ42ma42	pʰ */ə ⁴² + m a ⁴²	64 65	i n t + i n t	pʰ */ə - ⁴² + m - a - ⁴²	64 65	9
81	Jinman	(soul); spirit	pʰã42mã42	pʰã42mã42	pʰ ã ⁴² + m ã ⁴²	64 65	i n t + i n t	pʰ ã - ⁴² + m - ã - ⁴²	64 65	9
82	Jinxing	(soul); spirit	pʰan31man31	pʰan31man31	pʰ a n ³¹ + m a n ³¹	64 65	i n c t + i n c t	pʰ a n ³¹ + m - a n ³¹	64 65	9
83	Zhoucheng	(soul); spirit	pʰo31miɛ31	pʰo31miɛ31	pʰ o ³¹ + m i/j ɛ ³¹	64 65	i n t + i m n t	pʰ o - ³¹ + m i/j ɛ - ³¹	64 65	9
84	Mazhelong	(soul); spirit	pʰɚ21mɚ̃21	pʰɚ21mɚ̃21	pʰ ɚ/ə ²¹ + m ɚ/ə̃ ²¹	64 65	i n t + i n t	pʰ ɚ/ə - ²¹ + m - ɚ/ə̃ - ²¹	64 65	9
85	ProtoBai	(wasps) sting	tʰro4	tʰro4	tʰ r o ⁴	82	i m n t	tʰ r o ⁴	82	10
86	Tuoluo	(wasps) sting	tʰiu42	tʰiu42	tʰ i u ⁴²	82	i m n t	tʰ i u ⁴²	82	10
87	Gongxing	(wasps) sting	ŋaŋ24	ŋaŋ24	ŋ a ŋ ²⁴	83	i n c t	ŋ a ŋ ²⁴	83	11
88	Enqi	(wasps) sting	tʰiu55	tʰiu55	tʰ i u ⁵⁵	82	i m n t	tʰ i u ⁵⁵	82	10
89	Ega	(wasps) sting	tɕʰio44	tɕʰio44	tɕʰ i/j o ⁴⁴	82	i m n t	tɕʰ i/j o ⁴⁴	82	10
90	Jinman	(wasps) sting	ʈʰo55	ʈʰo55	ʈʰ o ⁵⁵	82	i n t	ʈʰ - o ⁵⁵	82	10
91	Jinxing	(wasps) sting	tsʰou44	tsʰou44	tsʰ ou ⁴⁴	82	i n t	tsʰ - ou ⁴⁴	82	10
92	Dashi	(wasps) sting	tʂʰou44	tʂʰou44	ʈʂʰ ou ⁴⁴	82	i n t	ʈʂʰ - ou ⁴⁴	82	10
93	Zhoucheng	(wasps) sting	ŋa44	ŋa44	ŋ a ⁴⁴	83	i n t	ŋ a - ⁴⁴	83	11
94	Mazhelong	(wasps) sting	tsʰo44	tsʰo44	tsʰ o ⁴⁴	82	i n t	tsʰ - o ⁴⁴	82	10
95	ProtoBai	(water flow)	gɯ1	gɯ1	g ɯ ¹	93	i n t	g ɯ ¹	93	12
96	Tuoluo	(water flow)	gɯ35	gɯ35	g ɯ ³⁵	93	i n t	g ɯ ³⁵	93	12
97	Gongxing	(water flow)	gɯ12	gɯ12	g ɯ ¹²	93	i n t	g ɯ ¹²	93	12
98	Enqi	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
99	Ega	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
100	Jinman	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
101	Jinxing	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
102	Dashi	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
103	Zhoucheng	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
104	Mazhelong	(water flow)	kɯ21	kɯ21	k ɯ ²¹	93	i n t	k ɯ ²¹	93	12
105	ProtoBai	(water) be boiling	hua4	hua4	h u/w a ⁴	104	i m n t	h u/w a ⁴	104	13
106	Tuoluo	(water) be boiling	huɔ42	huɔ42	h u/w ɔ ⁴²	104	i m n t	h u/w ɔ ⁴²	104	13
107	Gongxing	(water) be boiling	xua24	xua24	x u/w a ²⁴	104	i m n t	x u/w a ²⁴	104	13
108	Enqi	(water) be boiling	χua55	χua55	χ u/w a ⁵⁵	104	i m n t	χ u/w a ⁵⁵	104	13
109	Ega	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104	i m n t	x u/w a ⁴⁴	104	13
110	Jinman	(water) be boiling	xua55	xua55	x u/w a ⁵⁵	104	i m n t	x u/w a ⁵⁵	104	13
111	Jinxing	(water) be boiling	xuɑ44	xuɑ44	x u ɑ ⁴⁴	105	i m n t	x u ɑ ⁴⁴	105	14
112	Zhoucheng	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104	i m n t	x u/w a ⁴⁴	104	13
113	Mazhelong	(water) be boiling	xua44	xua44	x u/w a ⁴⁴	104	i m n t	x u/w a ⁴⁴	104	13
114	ProtoBai	(xx language)	ŋo3	ŋo3	ŋ o ³	114	i n t	ŋ o ³	114	15
115	Gongxing	(xx language)	ŋo42	ŋo42	ŋ o ⁴²	114	i n t	ŋ o ⁴²	114	15
