ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	STRUCTURE	ALIGNMENT	CROSSIDS	COGID
116	Enqi	(xx language)	ŋo43	ŋo43	ŋ o ⁴³	114	i n t	ŋ o ⁴³	114	15
117	Mazhelong	(xx language)	oŋ21	oŋ21	o ŋ ²¹	115	n c t	o ŋ ²¹	115	16
118	ProtoBai	Chinese chestnut	tsʰji1	tsʰji1	tsʰ j i ¹	119	i m n t	tsʰ j i ¹	119	105
119	Tuoluo	Chinese chestnut	tɕʰi55(ji42)	tɕʰi55	tɕʰ i ⁵⁵	119	i n t	tɕʰ - i ⁵⁵	119	105
120	Gongxing	Chinese chestnut	tɕʰi55(ʑi21	tɕʰi55	tɕʰ i ⁵⁵	119	i n t	tɕʰ - i ⁵⁵	119	105
121	Enqi	Chinese chestnut	tsʰi55(jɯ21)	tsʰi55	tsʰ i ⁵⁵	119	i n t	tsʰ - i ⁵⁵	119	105
122	Ega	Chinese chestnut	(ɕu22)tsʰi55(ji21lɛ21)	ɕu22)tsʰi55	ɕ u ²² + tsʰ i ⁵⁵	120 119	i n t + i n t	ɕ u ²² + tsʰ - i ⁵⁵	120 119	105
123	Jinman	Chinese chestnut	(xa55ne221)	xa55ne221	x a ⁵⁵ + n e ²²¹	120 121	i n t + i n t	x a ⁵⁵ + n e ²²¹	120 121	105
124	Jinxing	Chinese chestnut	tɕʰi55(ji31)	tɕʰi55	tɕʰ i ⁵⁵	119	i n t	tɕʰ - i ⁵⁵	119	105
125	Dashi	Chinese chestnut	tɕʰ(li44)	tɕʰ	tɕʰ */ə ⁰	119	i n t	tɕʰ - */ə ⁰	119	105
126	Mazhelong	Chinese chestnut	(to21ju21)	to21ju21	t o ²¹ + j u ²¹	119 122	i n t + m n t	t - o ²¹ + j u ²¹	119 122	105
127	ProtoBai	Han Chinese	haŋ5	haŋ5	h a ŋ ⁵	133	i n c t	h a ŋ ⁵	133	260
128	Tuoluo	Han Chinese	haŋ21	haŋ21	h a ŋ ²¹	133	i n c t	h a ŋ ²¹	133	260
129	Gongxing	Han Chinese	haŋ42	haŋ42	h a ŋ ⁴²	133	i n c t	h a ŋ ⁴²	133	260
130	Enqi	Han Chinese	χa43	χa43	χ a ⁴³	132	i n t	χ a ⁴³	132	259
131	Ega	Han Chinese	xa42	xa42	x a ⁴²	132	i n t	x a ⁴²	132	259
132	Jinman	Han Chinese	xa42	xa42	x a ⁴²	132	i n t	x a ⁴²	132	259
133	Jinxing	Han Chinese	xɑ̃42	xɑ̃42	x ɑ̃ ⁴²	132	i n t	x ɑ̃ ⁴²	132	259
134	Dashi	Han Chinese	xã42	xã42	x ã ⁴²	132	i n t	x ã ⁴²	132	259
135	ProtoBai	I	C-ŋɔ3	C-ŋɔ3	ŋ ɔ ³	141	i n t	ŋ ɔ - ³	141	290
136	Tuoluo	I	ŋɔ21	ŋɔ21	ŋ ɔ ²¹	141	i n t	ŋ ɔ - ²¹	141	290
137	Gongxing	I	ŋa42	ŋa42	ŋ a ⁴²	141	i n t	ŋ a - ⁴²	141	290
138	Enqi	I	ɴo43	ɴo43	ɴ o ⁴³	141	i n t	ɴ o - ⁴³	141	290
139	Ega	I	ŋo42	ŋo42	ŋ o ⁴²	141	i n t	ŋ o - ⁴²	141	290
140	Jinman	I	õ42	õ42	õ ⁴²	142	n t	õ ⁴²	142	291
141	Jinxing	I	uõ31	uõ31	u/w õ ³¹	143	i n t	u/w õ ³¹	143	292
142	Dashi	I	ŋõ31	ŋõ31	ŋ õ ³¹	141	i n t	ŋ õ - ³¹	141	290
143	Zhoucheng	I	ŋo31	ŋo31	ŋ o ³¹	141	i n t	ŋ o - ³¹	141	290
144	Mazhelong	I	nen42	nen42	n e n ⁴²	141	i n c t	n e n ⁴²	141	290
160	ProtoBai	[Distillers grains]	pʰa1	pʰa1	pʰ a ¹	152	i n t	pʰ a ¹	152	20
161	Gongxing	[Distillers grains]	pʰa24	pʰa24	pʰ a ²⁴	152	i n t	pʰ a ²⁴	152	20
162	Enqi	[Distillers grains]	pʰa55	pʰa55	pʰ a ⁵⁵	152	i n t	pʰ a ⁵⁵	152	20
163	Ega	[Distillers grains]	pʰa44	pʰa44	pʰ a ⁴⁴	152	i n t	pʰ a ⁴⁴	152	20
164	Jinman	[Distillers grains]	(tsõ22qʰo22)	tsõ22qʰo22	ts õ ²² + qʰ o ²²	153 154	i n t + i n t	ts õ ²² + qʰ o ²²	153 154	21
165	Zhoucheng	[Distillers grains]	pe35	pe35	p e ³⁵	152	i n t	p e ³⁵	152	20
166	Mazhelong	[Distillers grains]	pɛ55	pɛ55	p ɛ ⁵⁵	152	i n t	p ɛ ⁵⁵	152	20
145	ProtoBai	[castrate (chicken)]	mjæ1	mjæ1	m j æ ¹	161	i m n t	m j æ - ¹	161	17
146	Tuoluo	[castrate (chicken)]	juaŋ55 (Wang 2006 has juang55, probably a spelling error)	juaŋ55	ju/ɥ a ŋ ⁵⁵	161	m n c t	- ju/ɥ a ŋ ⁵⁵	161	17
147	Gongxing	[castrate (chicken)]	ɲyɛ55	ɲyɛ55	ɲ y/ɥ ɛ ⁵⁵	161	i m n t	ɲ y/ɥ ɛ - ⁵⁵	161	17
148	Enqi	[castrate (chicken)]	mia24	mia24	m i/j a ²⁴	161	i m n t	m i/j a - ²⁴	161	17
149	Ega	[castrate (chicken)]	ɲia44	ɲia44	ɲ i/j a ⁴⁴	161	i m n t	ɲ i/j a - ⁴⁴	161	17
150	Jinman	[castrate (chicken)]	ɲio55	ɲio55	ɲ i/j o ⁵⁵	161	i m n t	ɲ i/j o - ⁵⁵	161	17
151	Jinxing	[castrate (chicken)]	mian55	mian55	m i/j a n ⁵⁵	161	i m n c t	m i/j a n ⁵⁵	161	17
152	Dashi	[castrate (chicken)]	mier35 (this is strange: should it be "miɚ35"?)	mier35	m i/j er/e ³⁵	161	i m n t	m i/j er/e - ³⁵	161	17
153	ProtoBai	[cow louse]	pe1	pe1	p e ¹	172	i n t	p e ¹	172	19
154	Gongxing	[cow louse]	(ŋɯ21ɕi24)	ŋɯ21ɕi24	ŋ ɯ ²¹ + ɕ i ²⁴	170 171	i n t + i n t	ŋ ɯ ²¹ + ɕ i ²⁴	170 171	18
155	Enqi	[cow louse]	pi24	pi24	p i ²⁴	172	i n t	p i ²⁴	172	19
156	Ega	[cow louse]	(ŋɯ21ɕi44)	ŋɯ21ɕi44	ŋ ɯ ²¹ + ɕ i ⁴⁴	170 171	i n t + i n t	ŋ ɯ ²¹ + ɕ i ⁴⁴	170 171	18
157	Jinman	[cow louse]	(ɯ̃21ɕi44)	ɯ̃21ɕi44	ɯ̃ ²¹ + ɕ i ⁴⁴	173 171	n t + i n t	ɯ̃ ²¹ + ɕ i ⁴⁴	173 171	18
158	Zhoucheng	[cow louse]	pe35	pe35	p e ³⁵	172	i n t	p e ³⁵	172	19
159	Mazhelong	[cow louse]	pɛ55	pɛ55	p ɛ ⁵⁵	172	i n t	p ɛ ⁵⁵	172	19
167	ProtoBai	[loach]	ʔo4	ʔo4	ʔ o ⁴	184	i n t	ʔ o ⁴	184	24
168	Gongxing	[loach]	ao24	ao24	ao ²⁴	181	n t	ao ²⁴	181	22
169	Enqi	[loach]	ʔo55	ʔo55	ʔ o ⁵⁵	184	i n t	ʔ o ⁵⁵	184	24
170	Ega	[loach]	(ŋu55tsi22)	ŋu55tsi22	ŋ u ⁵⁵ + ts i ²²	182 183	i n t + i n t	ŋ u ⁵⁵ + ts i ²²	182 183	23
171	Jinxing	[loach]	ʔv44	ʔv44	ʔ v/ʯ ⁴⁴	184	i n t	ʔ v/ʯ ⁴⁴	184	24
172	Dashi	[loach]	o55	o55	o ⁵⁵	181	n t	o ⁵⁵	181	22
173	Zhoucheng	[loach]	v55	v55	v/ʯ ⁵⁵	181	n t	v/ʯ ⁵⁵	181	22
174	Mazhelong	[loach]	(tɕa21oŋ55)	tɕa21oŋ55	tɕ a ²¹ + o ŋ ⁵⁵	183 185	i n t + n c t	tɕ a ²¹ + o ŋ ⁵⁵	183 185	23
175	ProtoBai	[pull up weeds]	qʰu1	qʰu1	qʰ u ¹	192	i n t	qʰ u ¹	192	25
176	Gongxing	[pull up weeds]	qʰu55	qʰu55	qʰ u ⁵⁵	192	i n t	qʰ u ⁵⁵	192	25
177	Enqi	[pull up weeds]	qʰu24	qʰu24	qʰ u ²⁴	192	i n t	qʰ u ²⁴	192	25
178	Ega	[pull up weeds]	qʰu24	qʰu24	qʰ u ²⁴	192	i n t	qʰ u ²⁴	192	25
179	Jinman	[pull up weeds]	qʰu55	qʰu55	qʰ u ⁵⁵	192	i n t	qʰ u ⁵⁵	192	25
180	Zhoucheng	[pull up weeds]	kʰu55	kʰu55	kʰ u ⁵⁵	192	i n t	kʰ u ⁵⁵	192	25
181	Mazhelong	[pull up weeds]	kʰo55	kʰo55	kʰ o ⁵⁵	192	i n t	kʰ o ⁵⁵	192	25
182	ProtoBai	[wood]	ɢua4	ɢua4	ɣ u/w a ⁴	200	i m n t	ɣ u/w a ⁴	200	26
183	Tuoluo	[wood]	guo42	guo42	g u/w o ⁴²	200	i m n t	g u/w o ⁴²	200	26
184	Gongxing	[wood]	ɢua21	ɢua21	ɣ u/w a ²¹	200	i m n t	ɣ u/w a ²¹	200	26
185	Enqi	[wood]	qua21	qua21	q u/w a ²¹	200	i m n t	q u/w a ²¹	200	26
186	Jinxing	[wood]	kuɑ42	kuɑ42	k u ɑ ⁴²	201	i m n t	k u ɑ ⁴²	201	27
187	Dashi	[wood]	kua42	kua42	k u/w a ⁴²	200	i m n t	k u/w a ⁴²	200	26
188	ProtoBai	a half	pjo2	pjo2	p j o ²	207	i m n t	p j o ²	207	28
189	Tuoluo	a half	fv33	fv33	f v/ʯ ³³	207	i n t	f - v/ʯ ³³	207	28
190	Gongxing	a half	pfw22	pfw22	pf ɯ ²²	207	i n t	pf - ɯ ²²	207	28
191	Enqi	a half	po22	po22	p o ²²	207	i n t	p - o ²²	207	28
192	Ega	a half	fe22	fe22	f e ²²	207	i n t	f - e ²²	207	28
193	Jinman	a half	fɚ22	fɚ22	f ɚ/ə ²²	207	i n t	f - ɚ/ə ²²	207	28
194	Zhoucheng	a half	po21	po21	p o ²¹	207	i n t	p - o ²¹	207	28
195	Mazhelong	a half	po21	po21	p o ²¹	207	i n t	p - o ²¹	207	28
196	ProtoBai	a year old	sʰua4	sʰua4	sʰ u/w a ⁴	216	i m n t	sʰ u/w a ⁴	216	29
197	Tuoluo	a year old	suɔ42	suɔ42	s u/w ɔ ⁴²	216	i m n t	s u/w ɔ ⁴²	216	29
198	Gongxing	a year old	sua24	sua24	s u/w a ²⁴	216	i m n t	s u/w a ²⁴	216	29
199	Enqi	a year old	sua55	sua55	s u/w a ⁵⁵	216	i m n t	s u/w a ⁵⁵	216	29
200	Ega	a year old	sua44	sua44	s u/w a ⁴⁴	216	i m n t	s u/w a ⁴⁴	216	29
201	Jinman	a year old	sua55	sua55	s u/w a ⁵⁵	216	i m n t	s u/w a ⁵⁵	216	29
202	Jinxing	a year old	suɑ44	suɑ44	s u ɑ ⁴⁴	217	i m n t	s u ɑ ⁴⁴	217	30
203	Dashi	a year old	sʰua44	sʰua44	sʰ u/w a ⁴⁴	216	i m n t	sʰ u/w a ⁴⁴	216	29
204	Zhoucheng	a year old	sua44	sua44	s u/w a ⁴⁴	216	i m n t	s u/w a ⁴⁴	216	29
205	Mazhelong	a year old	sua44	sua44	s u/w a ⁴⁴	216	i m n t	s u/w a ⁴⁴	216	29
206	ProtoBai	air; breath	tɕʰi4	tɕʰi4	tɕʰ i ⁴	227	i n t	tɕʰ i ⁴	227	31
207	Tuoluo	air; breath	tɕʰi42	tɕʰi42	tɕʰ i ⁴²	227	i n t	tɕʰ i ⁴²	227	31
208	Gongxing	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227	i n t	tɕʰ i ⁵⁵	227	31
209	Enqi	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227	i n t	tɕʰ i ⁵⁵	227	31
210	Jinxing	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227	i n t	tɕʰ i ⁴⁴	227	31
211	Dashi	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227	i n t	tɕʰ i ⁴⁴	227	31
212	Zhoucheng	air; breath	tɕʰi55	tɕʰi55	tɕʰ i ⁵⁵	227	i n t	tɕʰ i ⁵⁵	227	31
213	Mazhelong	air; breath	tɕʰi44	tɕʰi44	tɕʰ i ⁴⁴	227	i n t	tɕʰ i ⁴⁴	227	31
214	ProtoBai	alcoholic beverage	tsuŋ2	tsuŋ2	ts u ŋ ²	236	i n c t	ts u ŋ ²	236	32
215	Tuoluo	alcoholic beverage	tsvŋ33	tsvŋ33	ts v/ʯ ŋ ³³	236	i n c t	ts v/ʯ ŋ ³³	236	32
216	Gongxing	alcoholic beverage	tsoŋ22	tsoŋ22	ts o ŋ ²²	236	i n c t	ts o ŋ ²²	236	32
217	Enqi	alcoholic beverage	tso22	tso22	ts o ²²	236	i n t	ts o - ²²	236	32
218	Ega	alcoholic beverage	tsõ22	tsõ22	ts õ ²²	236	i n t	ts õ - ²²	236	32
219	Jinman	alcoholic beverage	tsŋ22	tsŋ22	ts */ə ŋ ²²	236	i n c t	ts */ə ŋ ²²	236	32
220	Jinxing	alcoholic beverage	tsṽ33	tsṽ33	ts ṽ/ʯ̃ ³³	236	i n t	ts ṽ/ʯ̃ - ³³	236	32
221	Dashi	alcoholic beverage	tsõ33	tsõ33	ts õ ³³	236	i n t	ts õ - ³³	236	32
222	Zhoucheng	alcoholic beverage	tsi33	tsi33	ts i ³³	236	i n t	ts i - ³³	236	32
223	Mazhelong	alcoholic beverage	tsoŋ33	tsoŋ33	ts o ŋ ³³	236	i n c t	ts o ŋ ³³	236	32
224	ProtoBai	ant	bri1bɯ1	bri1bɯ1	b r i 1b/¹ + ɯ ¹	247 251	i m n t + n t	b r i 1b/¹ + ɯ ¹	247 251	33
225	Tuoluo	ant	tɕien55(ɕaŋ55)	tɕien55	tɕ i/j e n ⁵⁵	250	i m n c t	tɕ i/j e n ⁵⁵	250	33
226	Gongxing	ant	dzu12bu12	dzu12bu12	dz u ¹² + b u ¹²	249 247	i n t + i n t	dz u ¹² + b - u ¹²	249 247	33
227	Enqi	ant	tsu43pɯ21	tsu43pɯ21	ts u ⁴³ + p ɯ ²¹	249 247	i n t + i n t	ts u ⁴³ + p - ɯ ²¹	249 247	33
228	Ega	ant	tɕi21pɯ21	tɕi21pɯ21	tɕ i ²¹ + p ɯ ²¹	249 247	i n t + i n t	tɕ i ²¹ + p - ɯ ²¹	249 247	33
229	Jinman	ant	tɕi21pɯ21	tɕi21pɯ21	tɕ i ²¹ + p ɯ ²¹	249 247	i n t + i n t	tɕ i ²¹ + p - ɯ ²¹	249 247	33
230	Jinxing	ant	pien21põ21	pien21põ21	p i/j e n ²¹ + p õ ²¹	250 247	i m n c t + i n t	p i/j e n ²¹ + p - õ ²¹	250 247	33
231	Dashi	ant	pi21po21	pi21po21	p i ²¹ + p o ²¹	247 248	i n t + i n t	p - i ²¹ + p o ²¹	247 248	33
